# Force      
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.200048e-10	(4.353013e-04 -9.028666e-04 8.554052e-23)	(4.353013e-04 -9.028666e-04 8.571151e-23)	(-3.717624e-20 7.783680e-20 -1.709912e-25)
2.640175e-10	(4.945016e-04 -1.027047e-03 9.659285e-23)	(4.360394e-04 -9.043973e-04 8.585661e-23)	(5.846222e-05 -1.226494e-04 1.073624e-23)
4.368327e-10	(4.409170e-04 -9.167387e-04 8.650516e-23)	(4.376825e-04 -9.078049e-04 8.617957e-23)	(3.234505e-06 -8.933862e-06 3.255933e-25)
6.442109e-10	(4.396987e-04 -9.138801e-04 8.712709e-23)	(4.392336e-04 -9.110218e-04 8.648446e-23)	(4.650326e-07 -2.858254e-06 6.426314e-25)
8.930545e-10	(4.401303e-04 -9.145218e-04 8.777604e-23)	(4.407402e-04 -9.141462e-04 8.678057e-23)	(-6.098084e-07 -3.756211e-07 9.954644e-25)
1.191652e-09	(4.406649e-04 -9.154280e-04 8.863851e-23)	(4.422281e-04 -9.172320e-04 8.707303e-23)	(-1.563229e-06 1.804058e-06 1.565483e-24)
1.549905e-09	(4.413849e-04 -9.167539e-04 8.919600e-23)	(4.437118e-04 -9.203091e-04 8.736464e-23)	(-2.326839e-06 3.555117e-06 1.831357e-24)
1.979715e-09	(4.421982e-04 -9.182966e-04 8.988727e-23)	(4.452005e-04 -9.233966e-04 8.765724e-23)	(-3.002298e-06 5.100000e-06 2.230023e-24)
2.495488e-09	(4.430742e-04 -9.199855e-04 9.106139e-23)	(4.467003e-04 -9.265069e-04 8.795199e-23)	(-3.626066e-06 6.521412e-06 3.109399e-24)
3.114287e-09	(4.441022e-04 -9.219900e-04 9.126289e-23)	(4.482155e-04 -9.296493e-04 8.824978e-23)	(-4.113267e-06 7.659358e-06 3.013113e-24)
3.856570e-09	(4.451380e-04 -9.240118e-04 9.105373e-23)	(4.497494e-04 -9.328305e-04 8.855124e-23)	(-4.611413e-06 8.818716e-06 2.502497e-24)
4.747575e-09	(4.462966e-04 -9.262800e-04 9.088899e-23)	(4.513030e-04 -9.360525e-04 8.885655e-23)	(-5.006472e-06 9.772579e-06 2.032437e-24)
5.816589e-09	(4.474564e-04 -9.285448e-04 9.051530e-23)	(4.528774e-04 -9.393177e-04 8.916597e-23)	(-5.421067e-06 1.077295e-05 1.349333e-24)
7.099407e-09	(4.487611e-04 -9.310938e-04 8.968468e-23)	(4.544729e-04 -9.426265e-04 8.947952e-23)	(-5.711762e-06 1.153273e-05 2.051594e-25)
8.610671e-09	(4.500710e-04 -9.336361e-04 8.874785e-23)	(4.560839e-04 -9.459677e-04 8.979615e-23)	(-6.012906e-06 1.233160e-05 -1.048297e-24)
1.034084e-08	(4.513916e-04 -9.361842e-04 8.764677e-23)	(4.577026e-04 -9.493249e-04 9.011433e-23)	(-6.311025e-06 1.314071e-05 -2.467564e-24)
