# Moment     
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.200048e-10	(1.591421e-24 -4.104442e-24 -3.930118e-05)	(1.597427e-24 -4.117619e-24 -3.930118e-05)	(-6.005981e-27 1.317692e-26 3.406331e-21)
2.640175e-10	(1.769193e-24 -4.580559e-24 -4.470665e-05)	(1.600131e-24 -4.124589e-24 -3.936777e-05)	(1.690618e-25 -4.559703e-25 -5.338880e-06)
4.368327e-10	(1.591500e-24 -4.114842e-24 -3.988772e-05)	(1.606149e-24 -4.140101e-24 -3.951603e-05)	(-1.464971e-26 2.525978e-26 -3.716917e-07)
6.442109e-10	(1.603259e-24 -4.138331e-24 -3.976703e-05)	(1.611831e-24 -4.154746e-24 -3.965599e-05)	(-8.571889e-27 1.641496e-26 -1.110365e-07)
8.930545e-10	(1.610225e-24 -4.154358e-24 -3.979650e-05)	(1.617348e-24 -4.168969e-24 -3.979192e-05)	(-7.122967e-27 1.461041e-26 -4.572972e-09)
1.191652e-09	(1.621977e-24 -4.180616e-24 -3.983718e-05)	(1.622798e-24 -4.183016e-24 -3.992618e-05)	(-8.214914e-28 2.400307e-27 8.900379e-08)
1.549905e-09	(1.628549e-24 -4.195841e-24 -3.989595e-05)	(1.628232e-24 -4.197023e-24 -4.006005e-05)	(3.172788e-28 1.182256e-27 1.640947e-07)
1.979715e-09	(1.634667e-24 -4.210619e-24 -3.996405e-05)	(1.633684e-24 -4.211077e-24 -4.019438e-05)	(9.828560e-28 4.584854e-28 2.303291e-07)
2.495488e-09	(1.648654e-24 -4.242748e-24 -4.003843e-05)	(1.639177e-24 -4.225234e-24 -4.032969e-05)	(9.477240e-27 -1.751398e-26 2.912590e-07)
3.114287e-09	(1.644892e-24 -4.236141e-24 -4.012656e-05)	(1.644726e-24 -4.239538e-24 -4.046640e-05)	(1.667006e-28 3.397192e-27 3.398443e-07)
3.856570e-09	(1.632044e-24 -4.209775e-24 -4.021543e-05)	(1.650343e-24 -4.254017e-24 -4.060480e-05)	(-1.829880e-26 4.424169e-26 3.893712e-07)
4.747575e-09	(1.622300e-24 -4.190034e-24 -4.031508e-05)	(1.656032e-24 -4.268682e-24 -4.074498e-05)	(-3.373243e-26 7.864810e-26 4.298908e-07)
5.816589e-09	(1.606676e-24 -4.157654e-24 -4.041466e-05)	(1.661798e-24 -4.283544e-24 -4.088703e-05)	(-5.512168e-26 1.258902e-25 4.723701e-07)
7.099407e-09	(1.584780e-24 -4.111341e-24 -4.052672e-05)	(1.667640e-24 -4.298604e-24 -4.103098e-05)	(-8.286042e-26 1.872629e-25 5.042586e-07)
8.610671e-09	(1.563054e-24 -4.065085e-24 -4.063861e-05)	(1.673541e-24 -4.313813e-24 -4.117634e-05)	(-1.104863e-25 2.487281e-25 5.377253e-07)
1.034084e-08	(1.544157e-24 -4.024916e-24 -4.075089e-05)	(1.679470e-24 -4.329096e-24 -4.132240e-05)	(-1.353123e-25 3.041805e-25 5.715108e-07)
1.228135e-08	(1.479037e-24 -3.883628e-24 -4.086410e-05)	(1.685414e-24 -4.344418e-24 -4.146882e-05)	(-2.063772e-25 4.607897e-25 6.047149e-07)
1.430952e-08	(1.436683e-24 -3.790932e-24 -4.094279e-05)	(1.691317e-24 -4.359634e-24 -4.161422e-05)	(-2.546342e-25 5.687022e-25 6.714277e-07)
1.628485e-08	(1.410238e-24 -3.733645e-24 -4.100798e-05)	(1.697124e-24 -4.374603e-24 -4.175723e-05)	(-2.868863e-25 6.409576e-25 7.492501e-07)
1.822512e-08	(1.355002e-24 -3.612725e-24 -4.108790e-05)	(1.702829e-24 -4.389309e-24 -4.189771e-05)	(-3.478273e-25 7.765841e-25 8.098088e-07)
2.013891e-08	(1.317160e-24 -3.529175e-24 -4.115459e-05)	(1.708420e-24 -4.403721e-24 -4.203537e-05)	(-3.912599e-25 8.745453e-25 8.807813e-07)
2.203054e-08	(1.267753e-24 -3.420207e-24 -4.122822e-05)	(1.713903e-24 -4.417853e-24 -4.217034e-05)	(-4.461501e-25 9.976464e-25 9.421233e-07)
2.391125e-08	(1.221543e-24 -3.318959e-24 -4.129689e-05)	(1.719285e-24 -4.431726e-24 -4.230282e-05)	(-4.977423e-25 1.112766e-24 1.005931e-06)
2.578115e-08	(1.171827e-24 -3.209193e-24 -4.136546e-05)	(1.724553e-24 -4.445305e-24 -4.243248e-05)	(-5.527260e-25 1.236112e-24 1.067015e-06)
2.764390e-08	(1.122988e-24 -3.102190e-24 -4.143560e-05)	(1.729718e-24 -4.458620e-24 -4.255960e-05)	(-6.067303e-25 1.356430e-24 1.124000e-06)
2.950309e-08	(1.078122e-24 -3.003240e-24 -4.150027e-05)	(1.734789e-24 -4.471691e-24 -4.268438e-05)	(-6.566676e-25 1.468451e-24 1.184108e-06)
3.135872e-08	(1.030575e-24 -2.899148e-24 -4.156596e-05)	(1.739770e-24 -4.484531e-24 -4.280693e-05)	(-7.091952e-25 1.585383e-24 1.240973e-06)
3.321436e-08	(9.966907e-25 -2.824384e-24 -4.163102e-05)	(1.744667e-24 -4.497152e-24 -4.292740e-05)	(-7.479760e-25 1.672768e-24 1.296379e-06)
3.507356e-08	(9.456506e-25 -2.711473e-24 -4.169599e-05)	(1.749483e-24 -4.509567e-24 -4.304587e-05)	(-8.038321e-25 1.798094e-24 1.349879e-06)
3.693635e-08	(9.093413e-25 -2.629915e-24 -4.176234e-05)	(1.754222e-24 -4.521783e-24 -4.316244e-05)	(-8.448804e-25 1.891868e-24 1.400101e-06)
3.880276e-08	(8.757010e-25 -2.554300e-24 -4.182564e-05)	(1.758866e-24 -4.533755e-24 -4.327667e-05)	(-8.831653e-25 1.979455e-24 1.451030e-06)
4.067279e-08	(8.311539e-25 -2.454598e-24 -4.189017e-05)	(1.763427e-24 -4.545512e-24 -4.338884e-05)	(-9.322734e-25 2.090914e-24 1.498666e-06)
4.255014e-08	(7.867042e-25 -2.355626e-24 -4.194853e-05)	(1.767912e-24 -4.557071e-24 -4.349911e-05)	(-9.812075e-25 2.201446e-24 1.550576e-06)
4.443489e-08	(7.596806e-25 -2.295120e-24 -4.200840e-05)	(1.772324e-24 -4.568445e-24 -4.360759e-05)	(-1.012643e-24 2.273324e-24 1.599190e-06)
4.633085e-08	(7.167234e-25 -2.198031e-24 -4.206779e-05)	(1.776668e-24 -4.579643e-24 -4.371440e-05)	(-1.059945e-24 2.381613e-24 1.646615e-06)
4.823438e-08	(6.835386e-25 -2.122771e-24 -4.212461e-05)	(1.780948e-24 -4.590675e-24 -4.381960e-05)	(-1.097409e-24 2.467903e-24 1.694995e-06)
5.014940e-08	(6.115576e-25 -1.964553e-24 -4.218322e-05)	(1.785165e-24 -4.601545e-24 -4.392326e-05)	(-1.173607e-24 2.636992e-24 1.740034e-06)
5.207608e-08	(5.708363e-25 -1.872718e-24 -4.223970e-05)	(1.789322e-24 -4.612261e-24 -4.402544e-05)	(-1.218486e-24 2.739543e-24 1.785735e-06)
5.401061e-08	(5.052785e-25 -1.727772e-24 -4.229467e-05)	(1.793421e-24 -4.622827e-24 -4.412618e-05)	(-1.288142e-24 2.895056e-24 1.831505e-06)
5.595709e-08	(4.799642e-25 -1.669099e-24 -4.235113e-05)	(1.797464e-24 -4.633249e-24 -4.422553e-05)	(-1.317500e-24 2.964150e-24 1.874397e-06)
5.789161e-08	(4.246109e-25 -1.545301e-24 -4.239618e-05)	(1.801451e-24 -4.643528e-24 -4.432351e-05)	(-1.376840e-24 3.098227e-24 1.927331e-06)
5.981428e-08	(3.920119e-25 -1.470897e-24 -4.244710e-05)	(1.805384e-24 -4.653664e-24 -4.442013e-05)	(-1.413372e-24 3.182767e-24 1.973031e-06)
6.172135e-08	(3.282394e-25 -1.328602e-24 -4.249285e-05)	(1.809262e-24 -4.663661e-24 -4.451542e-05)	(-1.481023e-24 3.335059e-24 2.022567e-06)
6.362070e-08	(2.503373e-25 -1.155134e-24 -4.254386e-05)	(1.813087e-24 -4.673522e-24 -4.460939e-05)	(-1.562750e-24 3.518389e-24 2.065535e-06)
6.550856e-08	(1.911528e-25 -1.021311e-24 -4.258981e-05)	(1.816861e-24 -4.683251e-24 -4.470210e-05)	(-1.625708e-24 3.661940e-24 2.112295e-06)
6.738882e-08	(1.575021e-25 -9.451298e-25 -4.263932e-05)	(1.820585e-24 -4.692848e-24 -4.479356e-05)	(-1.663083e-24 3.747719e-24 2.154247e-06)
6.926531e-08	(1.350485e-25 -8.940264e-25 -4.268778e-05)	(1.824259e-24 -4.702320e-24 -4.488382e-05)	(-1.689211e-24 3.808294e-24 2.196034e-06)
7.113801e-08	(1.886514e-26 -6.363619e-25 -4.273584e-05)	(1.827886e-24 -4.711669e-24 -4.497289e-05)	(-1.809021e-24 4.075307e-24 2.237046e-06)
7.300695e-08	(-2.377566e-26 -5.395449e-25 -4.278333e-05)	(1.831466e-24 -4.720897e-24 -4.506081e-05)	(-1.855241e-24 4.181353e-24 2.277481e-06)
7.487213e-08	(-6.065540e-26 -4.545799e-25 -4.282972e-05)	(1.835000e-24 -4.730009e-24 -4.514761e-05)	(-1.895656e-24 4.275429e-24 2.317899e-06)
7.673730e-08	(-1.110874e-25 -3.418987e-25 -4.287735e-05)	(1.838490e-24 -4.739005e-24 -4.523332e-05)	(-1.949577e-24 4.397106e-24 2.355962e-06)
7.860248e-08	(-1.416305e-25 -2.711228e-25 -4.292359e-05)	(1.841937e-24 -4.747889e-24 -4.531795e-05)	(-1.983567e-24 4.476766e-24 2.394358e-06)
8.046766e-08	(-1.878389e-25 -1.648129e-25 -4.296982e-05)	(1.845341e-24 -4.756664e-24 -4.540153e-05)	(-2.033180e-24 4.591851e-24 2.431716e-06)
8.233283e-08	(-2.444094e-25 -3.622575e-26 -4.301532e-05)	(1.848703e-24 -4.765332e-24 -4.548409e-05)	(-2.093113e-24 4.729107e-24 2.468770e-06)
8.419801e-08	(-2.855925e-25 5.742025e-26 -4.306046e-05)	(1.852025e-24 -4.773896e-24 -4.556565e-05)	(-2.137618e-24 4.831316e-24 2.505198e-06)
8.606319e-08	(-3.256050e-25 1.495889e-25 -4.310506e-05)	(1.855308e-24 -4.782357e-24 -4.564624e-05)	(-2.180913e-24 4.931946e-24 2.541175e-06)
8.792837e-08	(-4.031495e-25 3.233784e-25 -4.314922e-05)	(1.858551e-24 -4.790718e-24 -4.572586e-05)	(-2.261701e-24 5.114096e-24 2.576634e-06)
8.979737e-08	(-4.640540e-25 4.614129e-25 -4.319457e-05)	(1.861756e-24 -4.798979e-24 -4.580453e-05)	(-2.325810e-24 5.260392e-24 2.609963e-06)
