# Wall shear stress
# Time       	patch        	min          	max          
1.000000e-06	cone	(9.715358e-01 -2.377177e+00 -2.981932e-16)	(2.614061e+00 -6.772158e-03 1.024286e-13)
2.000000e-06	cone	(5.057481e-01 -1.459548e+00 -2.929926e-16)	(1.578028e+00 -4.126250e-03 1.023349e-13)
3.000000e-06	cone	(-2.587732e+03 -1.786670e+02 -4.667417e-10)	(8.069830e-01 5.586084e+02 1.278701e-15)
4.000000e-06	cone	(-1.359311e+03 -3.280908e+02 -9.627087e-11)	(1.335049e+01 7.881597e+02 8.988764e-16)
5.000000e-06	cone	(-3.877439e+02 -1.685533e+02 -2.923623e-11)	(7.407003e+00 5.579651e+02 6.720931e-16)
6.000000e-06	cone	(-3.654576e+02 -9.810204e+01 -2.247515e-11)	(8.904411e-01 5.511393e+02 1.038332e-15)
7.000000e-06	cone	(-3.524090e+02 -1.198176e+02 -1.622502e-11)	(2.407470e+00 5.294627e+02 8.693251e-16)
8.000000e-06	cone	(-3.414099e+02 -1.403979e+02 -6.923221e-09)	(8.723712e+00 5.134484e+02 4.696155e-15)
9.000000e-06	cone	(-3.303634e+02 -1.521671e+02 -3.422538e-09)	(8.104403e+00 4.957678e+02 2.252070e-14)
1.000000e-05	cone	(-3.223474e+02 -1.625997e+02 -1.522767e-09)	(7.733884e+00 4.874124e+02 4.856143e-15)
1.100000e-05	cone	(-1.467351e+02 -1.720434e+02 -8.311402e-10)	(7.324196e+00 4.008734e+01 8.648089e-15)
1.200000e-05	cone	(-1.569670e+02 -1.793195e+02 -6.632796e-10)	(6.700845e+00 4.054291e+01 8.840156e-15)
