# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.2000480019e-10	(2.4902127461e+01 -1.4425431716e+01 8.3983609290e-19)	(2.4902127461e+01 -1.4425431716e+01 8.3983652663e-19)	(-1.1024711250e-23 -5.1379790387e-24 -4.3373053332e-25)
2.6401747414e-10	(2.4902129545e+01 -1.4425432674e+01 8.3983614416e-19)	(2.4902129531e+01 -1.4425432668e+01 8.3983658739e-19)	(1.4039198791e-08 -5.9664045611e-09 -4.4322897608e-25)
4.3683268287e-10	(2.4902132028e+01 -1.4425433816e+01 8.3983633177e-19)	(2.4902132014e+01 -1.4425433810e+01 8.3983666031e-19)	(1.4038907781e-08 -5.9662862746e-09 -3.2853505305e-25)
6.4421093335e-10	(2.4902135008e+01 -1.4425435187e+01 8.3983538853e-19)	(2.4902134994e+01 -1.4425435181e+01 8.3983674780e-19)	(1.3999768936e-08 -5.9505958800e-09 -1.3592769706e-24)
8.9305450633e-10	(2.4902138583e+01 -1.4425436832e+01 8.3983609154e-19)	(2.4902138569e+01 -1.4425436826e+01 8.3983685279e-19)	(1.3998393010e-08 -5.9500389858e-09 -7.6125366500e-25)
1.1916519198e-09	(2.4902142873e+01 -1.4425438806e+01 8.3983653366e-19)	(2.4902142859e+01 -1.4425438800e+01 8.3983697877e-19)	(1.3996095857e-08 -5.9491075444e-09 -4.4511417744e-25)
1.5499045554e-09	(2.4902148020e+01 -1.4425441175e+01 8.3983785578e-19)	(2.4902148006e+01 -1.4425441169e+01 8.3983712991e-19)	(1.3992131270e-08 -5.9475044120e-09 7.2586846891e-25)
1.9797151863e-09	(2.4902154195e+01 -1.4425444016e+01 8.3983549158e-19)	(2.4902154181e+01 -1.4425444010e+01 8.3983731123e-19)	(1.3985816670e-08 -5.9449516200e-09 -1.8196495597e-24)
2.4954879433e-09	(2.4902161604e+01 -1.4425447425e+01 8.3983330206e-19)	(2.4902161590e+01 -1.4425447419e+01 8.3983752880e-19)	(1.3975996698e-08 -5.9409823380e-09 -4.2267452138e-24)
3.1142872684e-09	(2.4902170493e+01 -1.4425451515e+01 8.3983129497e-19)	(2.4902170479e+01 -1.4425451509e+01 8.3983778982e-19)	(1.3960988260e-08 -5.9349165447e-09 -6.4948491523e-24)
3.8565700031e-09	(2.4902181155e+01 -1.4425456420e+01 8.3983127439e-19)	(2.4902181141e+01 -1.4425456415e+01 8.3983810289e-19)	(1.3938338922e-08 -5.9257633988e-09 -6.8284990683e-24)
4.7475748600e-09	(2.4902193951e+01 -1.4425462308e+01 8.3983126931e-19)	(2.4902193937e+01 -1.4425462302e+01 8.3983847865e-19)	(1.3904460214e-08 -5.9120730850e-09 -7.2093419428e-24)
5.8165892801e-09	(2.4902209301e+01 -1.4425469372e+01 8.3983174048e-19)	(2.4902209288e+01 -1.4425469366e+01 8.3983892943e-19)	(1.3854194036e-08 -5.8917615673e-09 -7.1889517824e-24)
7.0994065843e-09	(2.4902227719e+01 -1.4425477847e+01 8.3982966440e-19)	(2.4902227706e+01 -1.4425477841e+01 8.3983947028e-19)	(1.3780011956e-08 -5.8617872445e-09 -9.8058835482e-24)
8.6387873492e-09	(2.4902249817e+01 -1.4425488015e+01 8.3982596589e-19)	(2.4902249803e+01 -1.4425488009e+01 8.3984011920e-19)	(1.3671045182e-08 -5.8177588564e-09 -1.4153308094e-23)
1.0484897615e-08	(2.4902276311e+01 -1.4425500206e+01 8.3982938644e-19)	(2.4902276298e+01 -1.4425500200e+01 8.3984089724e-19)	(1.3511666988e-08 -5.7533628171e-09 -1.1510802915e-23)
1.2698577933e-08	(2.4902308073e+01 -1.4425514821e+01 8.3982309393e-19)	(2.4902308059e+01 -1.4425514816e+01 8.3984182997e-19)	(1.3279236181e-08 -5.6594516856e-09 -1.8736034418e-23)
1.5352614014e-08	(2.4902346140e+01 -1.4425532339e+01 8.3981495228e-19)	(2.4902346127e+01 -1.4425532333e+01 8.3984294790e-19)	(1.2941174173e-08 -5.5228628123e-09 -2.7995615369e-23)
1.8539175134e-08	(2.4902391827e+01 -1.4425553363e+01 8.3982962837e-19)	(2.4902391814e+01 -1.4425553358e+01 8.3984428965e-19)	(1.2449794940e-08 -5.3243294601e-09 -1.4661281112e-23)
2.2358088849e-08	(2.4902446555e+01 -1.4425578550e+01 8.3984109285e-19)	(2.4902446543e+01 -1.4425578545e+01 8.3984589696e-19)	(1.1738413053e-08 -5.0369060354e-09 -4.8041082912e-24)
2.6947956977e-08	(2.4902512295e+01 -1.4425608805e+01 8.3983190806e-19)	(2.4902512285e+01 -1.4425608800e+01 8.3984782775e-19)	(1.0706300334e-08 -4.6198950572e-09 -1.5919684555e-23)
3.2445426146e-08	(2.4902590982e+01 -1.4425645020e+01 8.3982430916e-19)	(2.4902590973e+01 -1.4425645016e+01 8.3985013888e-19)	(9.2171741202e-09 -4.0182217996e-09 -2.5829710849e-23)
3.9027430050e-08	(2.4902685117e+01 -1.4425688348e+01 8.3981853918e-19)	(2.4902685110e+01 -1.4425688345e+01 8.3985290386e-19)	(7.0688109169e-09 -3.1501792751e-09 -3.4364678639e-23)
4.6904254394e-08	(2.4902797661e+01 -1.4425740153e+01 8.3980846496e-19)	(2.4902797657e+01 -1.4425740151e+01 8.3985620980e-19)	(3.9743756923e-09 -1.8998584094e-09 -4.7744834744e-23)
5.6340845935e-08	(2.4902932337e+01 -1.4425802150e+01 8.3979594004e-19)	(2.4902932337e+01 -1.4425802150e+01 8.3986016610e-19)	(-4.8298450137e-10 -9.8802104720e-11 -6.4226065083e-23)
6.7710233333e-08	(2.4903094373e+01 -1.4425876751e+01 8.3977780639e-19)	(2.4903094380e+01 -1.4425876754e+01 8.3986492657e-19)	(-6.9311713823e-09 2.5067665093e-09 -8.7120181120e-23)
8.1420376961e-08	(2.4903289444e+01 -1.4425966573e+01 8.3987111003e-19)	(2.4903289460e+01 -1.4425966579e+01 8.3987065818e-19)	(-1.6247511587e-08 6.2715463644e-09 4.5185342448e-25)
9.7823584515e-08	(2.4903522364e+01 -1.4426073838e+01 8.3981392871e-19)	(2.4903522394e+01 -1.4426073850e+01 8.3987750274e-19)	(-2.9606035159e-08 1.1670209499e-08 -6.3574034643e-23)
1.1743611529e-07	(2.4903800186e+01 -1.4426201806e+01 8.3978159839e-19)	(2.4903800235e+01 -1.4426201826e+01 8.3988566802e-19)	(-4.8795895789e-08 1.9425939919e-08 -1.0406962859e-22)
1.4066148067e-07	(2.4904128240e+01 -1.4426352944e+01 8.3975525588e-19)	(2.4904128316e+01 -1.4426352975e+01 8.3989531135e-19)	(-7.6065954271e-08 3.0448108858e-08 -1.4005546316e-22)
1.6838207807e-07	(2.4904518450e+01 -1.4426532766e+01 8.3975889191e-19)	(2.4904518565e+01 -1.4426532812e+01 8.3990678430e-19)	(-1.1516346341e-07 4.6251561040e-08 -1.4789238861e-22)
2.0036738276e-07	(2.4904966858e+01 -1.4426739472e+01 8.3960270339e-19)	(2.4904967027e+01 -1.4426739540e+01 8.3991997175e-19)	(-1.6907028887e-07 6.8043492286e-08 -3.1726836477e-22)
2.3671431991e-07	(2.4905474012e+01 -1.4426973343e+01 8.3940909384e-19)	(2.4905474254e+01 -1.4426973441e+01 8.3993489134e-19)	(-2.4277642503e-07 9.7839451386e-08 -5.2579750292e-22)
2.7688725044e-07	(2.4906031543e+01 -1.4427230553e+01 8.3947828160e-19)	(2.4906031883e+01 -1.4427230690e+01 8.3995129858e-19)	(-3.4031559649e-07 1.3727032134e-07 -4.7301697746e-22)
3.1706018097e-07	(2.4906585771e+01 -1.4427486356e+01 8.3933590635e-19)	(2.4906586228e+01 -1.4427486540e+01 8.3996761483e-19)	(-4.5662151450e-07 1.8428677522e-07 -6.3170848019e-22)
3.5500128203e-07	(2.4907106100e+01 -1.4427726624e+01 8.3915632516e-19)	(2.4907106689e+01 -1.4427726861e+01 8.3998293905e-19)	(-5.8822143255e-07 2.3747345931e-07 -8.2661388577e-22)
3.9294238308e-07	(2.4907623485e+01 -1.4427965637e+01 8.3900594178e-19)	(2.4907624227e+01 -1.4427965937e+01 8.3999818227e-19)	(-7.4253458386e-07 2.9982724877e-07 -9.9224048874e-22)
4.3088348414e-07	(2.4908137927e+01 -1.4428203398e+01 8.3881994872e-19)	(2.4908138843e+01 -1.4428203768e+01 8.4001334450e-19)	(-9.1682516874e-07 3.7025612612e-07 -1.1933957757e-21)
4.6882458520e-07	(2.4908649429e+01 -1.4428439907e+01 8.3861094207e-19)	(2.4908650540e+01 -1.4428440355e+01 8.4002842578e-19)	(-1.1108863074e-06 4.4868024613e-07 -1.4174837155e-21)
5.0676568626e-07	(2.4909157994e+01 -1.4428675164e+01 8.3853397446e-19)	(2.4909159319e+01 -1.4428675699e+01 8.4004342618e-19)	(-1.3244977293e-06 5.3501462790e-07 -1.5094517213e-21)
5.4470678731e-07	(2.4909663625e+01 -1.4428909171e+01 8.3848628901e-19)	(2.4909665182e+01 -1.4428909801e+01 8.4005834575e-19)	(-1.5574356675e-06 6.2917293996e-07 -1.5720567383e-21)
5.8264788837e-07	(2.4910166324e+01 -1.4429141929e+01 8.3835490071e-19)	(2.4910168133e+01 -1.4429142661e+01 8.4007318454e-19)	(-1.8094776967e-06 7.3106935232e-07 -1.7182838329e-21)
6.2058898943e-07	(2.4910666093e+01 -1.4429373439e+01 8.3835360498e-19)	(2.4910668174e+01 -1.4429374280e+01 8.4008794263e-19)	(-2.0804027126e-06 8.4061852883e-07 -1.7343376579e-21)
6.5853009049e-07	(2.4911162937e+01 -1.4429603703e+01 8.3838302564e-19)	(2.4911165307e+01 -1.4429604660e+01 8.4010262008e-19)	(-2.3699909206e-06 9.5773562303e-07 -1.7195944459e-21)
6.9647119154e-07	(2.4911656857e+01 -1.4429832720e+01 8.3857054145e-19)	(2.4911659535e+01 -1.4429833802e+01 8.4011721696e-19)	(-2.6780238343e-06 1.0823362776e-06 -1.5466755158e-21)
7.3441229260e-07	(2.4912147858e+01 -1.4430060493e+01 8.3870168302e-19)	(2.4912150863e+01 -1.4430061707e+01 8.4013173335e-19)	(-3.0042842742e-06 1.2143366234e-06 -1.4300503261e-21)
7.7235339366e-07	(2.4912635943e+01 -1.4430287023e+01 8.3864285389e-19)	(2.4912639292e+01 -1.4430288377e+01 8.4014616931e-19)	(-3.3485563651e-06 1.3536532794e-06 -1.5033154257e-21)
8.1029449471e-07	(2.4913121115e+01 -1.4430512311e+01 8.3862700804e-19)	(2.4913124826e+01 -1.4430513811e+01 8.4016052494e-19)	(-3.7106255349e-06 1.5002033511e-06 -1.5335168992e-21)
8.4823559577e-07	(2.4913603378e+01 -1.4430736358e+01 8.3855790376e-19)	(2.4913607468e+01 -1.4430738012e+01 8.4017480032e-19)	(-4.0902785122e-06 1.6539044304e-06 -1.6168965602e-21)
8.8617669683e-07	(2.4914082735e+01 -1.4430959167e+01 8.3843459267e-19)	(2.4914087222e+01 -1.4430960981e+01 8.4018899553e-19)	(-4.4873033249e-06 1.8146745948e-06 -1.7544028537e-21)
9.2411779789e-07	(2.4914559191e+01 -1.4431180738e+01 8.3830579881e-19)	(2.4914564092e+01 -1.4431182720e+01 8.4020311066e-19)	(-4.9014892975e-06 1.9824324062e-06 -1.8973118496e-21)
9.6205889894e-07	(2.4915032749e+01 -1.4431401073e+01 8.3839992355e-19)	(2.4915038082e+01 -1.4431403230e+01 8.4021714581e-19)	(-5.3326270496e-06 2.1570969107e-06 -1.8172222634e-21)
1.0000000000e-06	(2.4915503414e+01 -1.4431620173e+01 8.3821471421e-19)	(2.4915509194e+01 -1.4431622512e+01 8.4023110107e-19)	(-5.7805084935e-06 2.3385876373e-06 -2.0163868631e-21)
1.0400000000e-06	(2.4915996566e+01 -1.4431849861e+01 8.3796010610e-19)	(2.4916002836e+01 -1.4431852398e+01 8.4024572931e-19)	(-6.2701271829e-06 2.5370387962e-06 -2.2856232141e-21)
1.0800000000e-06	(2.4916486514e+01 -1.4432078181e+01 8.3774641417e-19)	(2.4916493290e+01 -1.4432080923e+01 8.4026026898e-19)	(-6.7757559796e-06 2.7420370811e-06 -2.5138548118e-21)
1.1183333333e-06	(2.4916952987e+01 -1.4432295681e+01 8.3736910498e-19)	(2.4916960265e+01 -1.4432298627e+01 8.4027411827e-19)	(-7.2775292439e-06 2.9455238630e-06 -2.9050132921e-21)
1.1566666667e-06	(2.4917416525e+01 -1.4432511928e+01 8.3728230952e-19)	(2.4917424322e+01 -1.4432515085e+01 8.4028788648e-19)	(-7.7972028437e-06 3.1563180505e-06 -3.0055769657e-21)
1.1950000000e-06	(2.4917877133e+01 -1.4432726924e+01 8.3694307188e-19)	(2.4917885466e+01 -1.4432730298e+01 8.4030157371e-19)	(-8.3328892691e-06 3.3736628840e-06 -3.3585018264e-21)
1.2333333333e-06	(2.4918334816e+01 -1.4432940672e+01 8.3662712481e-19)	(2.4918343700e+01 -1.4432944269e+01 8.4031518006e-19)	(-8.8843952705e-06 3.5974834896e-06 -3.6880552440e-21)
1.2716666667e-06	(2.4918789578e+01 -1.4433153171e+01 8.3594247079e-19)	(2.4918799030e+01 -1.4433156999e+01 8.4032870566e-19)	(-9.4515188567e-06 3.8277016243e-06 -4.3862348643e-21)
1.3100000000e-06	(2.4919241427e+01 -1.4433364426e+01 8.3562161169e-19)	(2.4919251461e+01 -1.4433368490e+01 8.4034215063e-19)	(-1.0034056142e-05 4.0642383023e-06 -4.7205389428e-21)
1.3483333333e-06	(2.4919690365e+01 -1.4433574438e+01 8.3539792714e-19)	(2.4919700997e+01 -1.4433578745e+01 8.4035551510e-19)	(-1.0631804583e-05 4.3070150396e-06 -4.9575879602e-21)
1.3866666667e-06	(2.4920136400e+01 -1.4433783209e+01 8.3502141079e-19)	(2.4920147644e+01 -1.4433787764e+01 8.4036879920e-19)	(-1.1244562966e-05 4.5559538485e-06 -5.3473884105e-21)
1.4250000000e-06	(2.4920579536e+01 -1.4433990740e+01 8.3457905536e-19)	(2.4920591408e+01 -1.4433995551e+01 8.4038200306e-19)	(-1.1872131395e-05 4.8109772338e-06 -5.8029477020e-21)
1.4633333333e-06	(2.4921019779e+01 -1.4434197035e+01 8.3438406385e-19)	(2.4921032293e+01 -1.4434202107e+01 8.4039512682e-19)	(-1.2514311290e-05 5.0720081923e-06 -6.0110629737e-21)
1.5016666667e-06	(2.4921457135e+01 -1.4434402096e+01 8.3403149503e-19)	(2.4921470306e+01 -1.4434407435e+01 8.4040817061e-19)	(-1.3170905386e-05 5.3389702113e-06 -6.3766755816e-21)
1.5400000000e-06	(2.4921891609e+01 -1.4434605924e+01 8.3387459260e-19)	(2.4921905451e+01 -1.4434611536e+01 8.4042113458e-19)	(-1.3841717726e-05 5.6117872679e-06 -6.5465419778e-21)
1.5783333333e-06	(2.4922323208e+01 -1.4434808522e+01 8.3394657315e-19)	(2.4922337735e+01 -1.4434814412e+01 8.4043401886e-19)	(-1.4526553663e-05 5.8903838276e-06 -6.4874457117e-21)
1.6166666667e-06	(2.4922751938e+01 -1.4435009893e+01 8.3364107177e-19)	(2.4922767163e+01 -1.4435016067e+01 8.4044682361e-19)	(-1.5225219851e-05 6.1746848433e-06 -6.8057518356e-21)
1.6550000000e-06	(2.4923177804e+01 -1.4435210038e+01 8.3345414822e-19)	(2.4923193742e+01 -1.4435216502e+01 8.4045954897e-19)	(-1.5937524248e-05 6.4646157542e-06 -7.0054007417e-21)
1.6933333333e-06	(2.4923600814e+01 -1.4435408960e+01 8.3313992217e-19)	(2.4923617477e+01 -1.4435415720e+01 8.4047219509e-19)	(-1.6663276109e-05 6.7601024847e-06 -7.3322729180e-21)
1.7316666667e-06	(2.4924020972e+01 -1.4435606662e+01 8.3323598127e-19)	(2.4924038375e+01 -1.4435613723e+01 8.4048476213e-19)	(-1.7402285986e-05 7.0610714432e-06 -7.2487808578e-21)
1.7700000000e-06	(2.4924438286e+01 -1.4435803146e+01 8.3289271950e-19)	(2.4924456441e+01 -1.4435810513e+01 8.4049725024e-19)	(-1.8154365722e-05 7.3674495210e-06 -7.6045307343e-21)
1.8083333333e-06	(2.4924852763e+01 -1.4435998414e+01 8.3258130449e-19)	(2.4924871682e+01 -1.4436006093e+01 8.4050965958e-19)	(-1.8919328448e-05 7.6791640910e-06 -7.9283550819e-21)
1.8466666667e-06	(2.4925264408e+01 -1.4436192469e+01 8.3257445375e-19)	(2.4925284105e+01 -1.4436200466e+01 8.4052199031e-19)	(-1.9696988582e-05 7.9961430066e-06 -7.9475365577e-21)
1.8850000000e-06	(2.4925673228e+01 -1.4436385315e+01 8.3259994247e-19)	(2.4925693716e+01 -1.4436393633e+01 8.4053424260e-19)	(-2.0487161824e-05 8.3183146005e-06 -7.9343001279e-21)
1.9233333333e-06	(2.4926079231e+01 -1.4436576952e+01 8.3221873359e-19)	(2.4926100521e+01 -1.4436585598e+01 8.4054641661e-19)	(-2.1289665153e-05 8.6456076836e-06 -8.3276830195e-21)
1.9616666667e-06	(2.4926482423e+01 -1.4436767384e+01 8.3218705252e-19)	(2.4926504527e+01 -1.4436776362e+01 8.4055851251e-19)	(-2.2104316824e-05 8.9779515434e-06 -8.3714599860e-21)
2.0000000000e-06	(2.4926882811e+01 -1.4436956614e+01 8.3181798996e-19)	(2.4926905742e+01 -1.4436965930e+01 8.4057053047e-19)	(-2.2930936363e-05 9.3152759432e-06 -8.7525405076e-21)
