# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4000001200e-03	(7.3398783427e+03 -2.6894186305e+03 1.3560208010e-16)	(7.3392568751e+03 -2.6901980470e+03 1.3770351018e-16)	(6.2146758154e-01 7.7941647393e-01 -2.1014300775e-18)
1.4000002640e-03	(7.3312849408e+03 -2.6867296946e+03 1.3552606572e-16)	(7.3306633219e+03 -2.6875094992e+03 1.3761573361e-16)	(6.2161887270e-01 7.7980455844e-01 -2.0896678873e-18)
1.4000004368e-03	(7.3209049061e+03 -2.6834834489e+03 1.3540811891e-16)	(7.3202830998e+03 -2.6842637341e+03 1.3750999104e-16)	(6.2180634401e-01 7.8028519970e-01 -2.1018721316e-18)
1.4000006442e-03	(7.3083573056e+03 -2.6795616487e+03 1.3528952707e-16)	(7.3077352740e+03 -2.6803425133e+03 1.3738254311e-16)	(6.2203156186e-01 7.8086457849e-01 -2.0930160411e-18)
1.4000008930e-03	(7.2931787427e+03 -2.6748206406e+03 1.3510363808e-16)	(7.2925564411e+03 -2.6756021995e+03 1.3722886907e-16)	(6.2230154225e-01 7.8155885994e-01 -2.1252309901e-18)
1.4000011916e-03	(7.2748077285e+03 -2.6690864060e+03 1.3494540928e-16)	(7.2741851187e+03 -2.6698687553e+03 1.3704350432e-16)	(6.2260971704e-01 7.8234923255e-01 -2.0980950411e-18)
1.4000015499e-03	(7.2525672023e+03 -2.6621490840e+03 1.3468528080e-16)	(7.2519442184e+03 -2.6629323969e+03 1.3681987192e-16)	(6.2298396106e-01 7.8331290300e-01 -2.1345911229e-18)
1.4000019799e-03	(7.2256485786e+03 -2.6537579755e+03 1.3439826297e-16)	(7.2250251492e+03 -2.6545424393e+03 1.3655010038e-16)	(6.2342938119e-01 7.8446374307e-01 -2.1518374133e-18)
1.4000024959e-03	(7.1931022976e+03 -2.6436181136e+03 1.3410913844e-16)	(7.1924783425e+03 -2.6444039384e+03 1.3622487241e-16)	(6.2395512480e-01 7.8582484945e-01 -2.1157339673e-18)
1.4000031150e-03	(7.1538370432e+03 -2.6313891737e+03 1.3368911691e-16)	(7.1532124698e+03 -2.6321766025e+03 1.3583329440e-16)	(6.2457337610e-01 7.8742884066e-01 -2.1441774918e-18)
1.4000038580e-03	(7.1066429897e+03 -2.6166911815e+03 1.3324636981e-16)	(7.1060176946e+03 -2.6174804874e+03 1.3536289620e-16)	(6.2529512591e-01 7.8930595118e-01 -2.1165263883e-18)
1.4000047496e-03	(7.0502565899e+03 -2.5991221529e+03 1.3265568776e-16)	(7.0496304593e+03 -2.5999136379e+03 1.3479987717e-16)	(6.2613057669e-01 7.9148497291e-01 -2.1441894027e-18)
1.4000058195e-03	(6.9834677717e+03 -2.5782878062e+03 1.3197658632e-16)	(6.9828406844e+03 -2.5790817939e+03 1.3412954680e-16)	(6.2708730676e-01 7.9398775452e-01 -2.1529604747e-18)
1.4000071034e-03	(6.9053145144e+03 -2.5538576812e+03 1.3119424026e-16)	(6.9046863461e+03 -2.5546545060e+03 1.3333738349e-16)	(6.2816829017e-01 7.9682479663e-01 -2.1431432263e-18)
1.4000086441e-03	(6.8153184039e+03 -2.5256344593e+03 1.3027841400e-16)	(6.8146890337e+03 -2.5264344492e+03 1.3241032159e-16)	(6.2937018013e-01 7.9998997977e-01 -2.1319075844e-18)
1.4000104930e-03	(6.7137267385e+03 -2.4936280267e+03 1.2918950193e-16)	(6.7130960560e+03 -2.4944314843e+03 1.3133817653e-16)	(6.3068245416e-01 8.0345753029e-01 -2.1486746033e-18)
1.4000127119e-03	(6.6017002905e+03 -2.4581179383e+03 1.2797144373e-16)	(6.6010682049e+03 -2.4589251179e+03 1.3011508753e-16)	(6.3208560126e-01 8.0717957822e-01 -2.1436437955e-18)
1.4000153745e-03	(6.4813574868e+03 -2.4196777460e+03 1.2656364857e-16)	(6.4807239326e+03 -2.4204888354e+03 1.2874076748e-16)	(6.3355420879e-01 8.1108944889e-01 -2.1771189078e-18)
1.4000185696e-03	(6.3555137321e+03 -2.3791079563e+03 1.2502526166e-16)	(6.3548786738e+03 -2.3799230654e+03 1.2722027726e-16)	(6.3505835647e-01 8.1510907318e-01 -2.1950156057e-18)
1.4000224041e-03	(6.2272958721e+03 -2.3373289539e+03 1.2338155557e-16)	(6.2266593041e+03 -2.3381481125e+03 1.2556400149e-16)	(6.3656797368e-01 8.1915861266e-01 -2.1824459197e-18)
1.4000270064e-03	(6.0997154994e+03 -2.2952553122e+03 1.2163613461e-16)	(6.0990774443e+03 -2.2960784767e+03 1.2378769095e-16)	(6.3805508917e-01 8.2316452223e-01 -2.1515563365e-18)
1.4000325285e-03	(5.9753327921e+03 -2.2536910239e+03 1.1969394006e-16)	(5.9746932974e+03 -2.2545180824e+03 1.2191242662e-16)	(6.3949470389e-01 8.2705849575e-01 -2.2184865644e-18)
1.4000391558e-03	(5.8560005720e+03 -2.2132415796e+03 1.1777540616e-16)	(5.8553597082e+03 -2.2140723635e+03 1.1996258854e-16)	(6.4086384243e-01 8.3078384550e-01 -2.1871823824e-18)
1.4000471118e-03	(5.7429497369e+03 -2.1743328981e+03 1.1571879779e-16)	(5.7423075794e+03 -2.1751672322e+03 1.1796533789e-16)	(6.4215754530e-01 8.3433409622e-01 -2.2465400978e-18)
1.4000566543e-03	(5.6365606559e+03 -2.1372140580e+03 1.1371129379e-16)	(5.6359172899e+03 -2.1380517533e+03 1.1596264796e-16)	(6.4336597704e-01 8.3769529185e-01 -2.2513541683e-18)
1.4000679793e-03	(5.5378902859e+03 -2.1022138918e+03 1.1170113885e-16)	(5.5372458138e+03 -2.1030547258e+03 1.1394171541e-16)	(6.4447218623e-01 8.4083403844e-01 -2.2405765572e-18)
1.4000810995e-03	(5.4492186025e+03 -2.0701858568e+03 1.0982661172e-16)	(5.4485731431e+03 -2.0710295516e+03 1.1205765429e-16)	(6.4545939340e-01 8.4369473617e-01 -2.2310425695e-18)
1.4000960152e-03	(5.3712833754e+03 -2.0415025967e+03 1.0805437320e-16)	(5.3706370362e+03 -2.0423488589e+03 1.1030435994e-16)	(6.4633916455e-01 8.4626218389e-01 -2.2499867399e-18)
1.4001127449e-03	(5.3036358548e+03 -2.0161100782e+03 1.0644340560e-16)	(5.3029887235e+03 -2.0169586324e+03 1.0868874678e-16)	(6.4713130480e-01 8.4855425015e-01 -2.2453411785e-18)
1.4001310208e-03	(5.2462130996e+03 -1.9941020559e+03 1.0496340500e-16)	(5.2455652572e+03 -1.9949526242e+03 1.0724079562e-16)	(6.4784239119e-01 8.5056833700e-01 -2.2773906190e-18)
1.4001493646e-03	(5.2008689679e+03 -1.9763455551e+03 1.0374864198e-16)	(5.2002205125e+03 -1.9771977746e+03 1.0603530129e-16)	(6.4845541304e-01 8.5221943661e-01 -2.2866593123e-18)
1.4001677770e-03	(5.1641799308e+03 -1.9616804375e+03 1.0276581724e-16)	(5.1635308964e+03 -1.9625340323e+03 1.0501196184e-16)	(6.4903432232e-01 8.5359480920e-01 -2.2461446006e-18)
1.4001862240e-03	(5.1339209144e+03 -1.9493484792e+03 1.0184450785e-16)	(5.1332713356e+03 -1.9502032422e+03 1.0413007501e-16)	(6.4957879215e-01 8.5476294463e-01 -2.2855671650e-18)
1.4002047405e-03	(5.1084467537e+03 -1.9387779838e+03 1.0107365995e-16)	(5.1077966618e+03 -1.9396337572e+03 1.0335938859e-16)	(6.5009196995e-01 8.5577338938e-01 -2.2857286364e-18)
1.4002232921e-03	(5.0866801580e+03 -1.9295965268e+03 1.0038612982e-16)	(5.0860295830e+03 -1.9304531851e+03 1.0267951010e-16)	(6.5057497044e-01 8.5665834698e-01 -2.2933802867e-18)
1.4002418438e-03	(5.0678258885e+03 -1.9215259852e+03 9.9805494921e-17)	(5.0671748588e+03 -1.9223834255e+03 1.0207439503e-16)	(6.5102969781e-01 8.5744027034e-01 -2.2689001106e-18)
1.4002604307e-03	(5.0512295394e+03 -1.9143298932e+03 9.9240351431e-17)	(5.0505780796e+03 -1.9151880324e+03 1.0153060082e-16)	(6.5145981763e-01 8.5813913667e-01 -2.2902493857e-18)
1.4002790532e-03	(5.0364380020e+03 -1.9078441600e+03 9.8726692525e-17)	(5.0357861346e+03 -1.9087029291e+03 1.0103749774e-16)	(6.5186739950e-01 8.5876907461e-01 -2.3108052159e-18)
1.4002976757e-03	(5.0231352739e+03 -1.9019545029e+03 9.8298683823e-17)	(5.0224830204e+03 -1.9028138426e+03 1.0058835249e-16)	(6.5225350504e-01 8.5933969853e-01 -2.2896686646e-18)
1.4003163341e-03	(5.0110311324e+03 -1.8965508565e+03 9.7867751150e-17)	(5.0103785123e+03 -1.8974107171e+03 1.0017659374e-16)	(6.5262011744e-01 8.5986052945e-01 -2.3088425889e-18)
1.4003349924e-03	(4.9999483081e+03 -1.8915674160e+03 9.7470249875e-17)	(4.9992953392e+03 -1.8924277537e+03 9.9797782102e-17)	(6.5296889272e-01 8.6033771727e-01 -2.3275322268e-18)
1.4003536868e-03	(4.9897077739e+03 -1.8869339282e+03 9.7161567056e-17)	(4.9890544719e+03 -1.8877947058e+03 9.9446862679e-17)	(6.5330204643e-01 8.6077759466e-01 -2.2852956235e-18)
1.4003723812e-03	(4.9802071941e+03 -1.8826112139e+03 9.6816488289e-17)	(4.9795535741e+03 -1.8834723974e+03 9.9120649756e-17)	(6.5361997608e-01 8.6118350731e-01 -2.3041614677e-18)
1.4003911120e-03	(4.9713296979e+03 -1.8785517053e+03 9.6490455709e-17)	(4.9706757735e+03 -1.8794132664e+03 9.8816241058e-17)	(6.5392443584e-01 8.6156101643e-01 -2.3257853496e-18)
1.4004098427e-03	(4.9630162061e+03 -1.8747323074e+03 9.6221839149e-17)	(4.9623619902e+03 -1.8755942190e+03 9.8531369502e-17)	(6.5421595984e-01 8.6191163035e-01 -2.3095303529e-18)
1.4004285735e-03	(4.9552007923e+03 -1.8711257998e+03 9.5933902146e-17)	(4.9545462968e+03 -1.8719880388e+03 9.8263871849e-17)	(6.5449547645e-01 8.6223909652e-01 -2.3299697039e-18)
1.4004473043e-03	(4.9478321087e+03 -1.8677107437e+03 9.5713650658e-17)	(4.9471773446e+03 -1.8685732885e+03 9.8011904932e-17)	(6.5476411166e-01 8.6254473981e-01 -2.2982542738e-18)
1.4004660719e-03	(4.9408521012e+03 -1.8644620009e+03 9.5456976065e-17)	(4.9401970779e+03 -1.8653248331e+03 9.7773425685e-17)	(6.5502329067e-01 8.6283225046e-01 -2.3164496204e-18)
1.4004848394e-03	(4.9342401032e+03 -1.8613711735e+03 9.5255631759e-17)	(4.9335848306e+03 -1.8622342752e+03 9.7547573181e-17)	(6.5527258333e-01 8.6310172184e-01 -2.2919414219e-18)
