# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4000001200e-03	(-1.3435220159e-17 -1.7400959958e-16 -3.2412796681e+03)	(-1.1917211865e-17 -1.7440050015e-16 -3.2410087114e+03)	(-1.5180082937e-18 3.9090056330e-19 -2.7095674926e-01)
1.4000002640e-03	(-1.3387162693e-17 -1.7384182029e-16 -3.2378057270e+03)	(-1.1875889517e-17 -1.7423098409e-16 -3.2375347333e+03)	(-1.5112731761e-18 3.8916379912e-19 -2.7099371656e-01)
1.4000004368e-03	(-1.3344420856e-17 -1.7363566204e-16 -3.2336119745e+03)	(-1.1825876507e-17 -1.7402645431e-16 -3.2333409351e+03)	(-1.5185443487e-18 3.9079226136e-19 -2.7103948987e-01)
1.4000006442e-03	(-1.3278053906e-17 -1.7339069531e-16 -3.2285457344e+03)	(-1.1765287945e-17 -1.7377952059e-16 -3.2282746401e+03)	(-1.5127659614e-18 3.8882528789e-19 -2.7109425628e-01)
1.4000008930e-03	(-1.3224256658e-17 -1.7308669835e-16 -3.2224214877e+03)	(-1.1691819924e-17 -1.7348121290e-16 -3.2221503279e+03)	(-1.5324367338e-18 3.9451455220e-19 -2.7115986442e-01)
1.4000011916e-03	(-1.3120562334e-17 -1.7272954022e-16 -3.2150145494e+03)	(-1.1602677354e-17 -1.7312067411e-16 -3.2147433140e+03)	(-1.5178849807e-18 3.9113388616e-19 -2.7123539372e-01)
1.4000015499e-03	(-1.3034702915e-17 -1.7228810765e-16 -3.2060540253e+03)	(-1.1494483280e-17 -1.7268481761e-16 -3.2057826985e+03)	(-1.5402196344e-18 3.9670996141e-19 -2.7132674281e-01)
1.4000019799e-03	(-1.2915051678e-17 -1.7175776910e-16 -3.1952161435e+03)	(-1.1363208624e-17 -1.7215799443e-16 -3.1949447084e+03)	(-1.5518430535e-18 4.0022533255e-19 -2.7143510003e-01)
1.4000024959e-03	(-1.2731645614e-17 -1.7112939857e-16 -3.1821198429e+03)	(-1.1204143197e-17 -1.7152175431e-16 -3.1818482799e+03)	(-1.5275024175e-18 3.9235574143e-19 -2.7156300379e-01)
1.4000031150e-03	(-1.2560731383e-17 -1.7035522219e-16 -3.1663252150e+03)	(-1.1011930851e-17 -1.7075471866e-16 -3.1660535015e+03)	(-1.5488005322e-18 3.9949647013e-19 -2.7171345763e-01)
