# Wall shear stress
# Time           	patch            	min              	max              
1.4100000000e-03	object	(-7.0266787658e+01 -6.2853029101e+01 -5.4746110332e-14)	(-4.1175350423e-01 -2.0796686654e-01 2.9447289641e-14)
1.4200000000e-03	object	(-6.9603969957e+01 -6.1476135290e+01 -5.4517731725e-14)	(-4.2092272159e-01 -2.0446386829e-01 3.0914354475e-14)
1.4300000000e-03	object	(-6.9460860111e+01 -6.0418093068e+01 -5.4771678572e-14)	(-4.2982621753e-01 -2.0264764112e-01 3.0400212821e-14)
1.4400000000e-03	object	(-6.9428543886e+01 -5.9563631962e+01 -5.3747316212e-14)	(-4.4109856014e-01 -2.0146647775e-01 3.2233339942e-14)
1.4500000000e-03	object	(-6.9284740371e+01 -5.8835244758e+01 -5.3372478663e-14)	(-8.9985425886e-01 -2.0092633049e-01 3.0663301581e-14)
1.4600000000e-03	object	(-6.8997593083e+01 -5.8190667035e+01 -3.9681882550e-14)	(-2.7426565702e+00 -2.1699847288e-01 2.0882594930e-14)
1.4700000000e-03	object	(-6.8670534804e+01 -5.7009803002e+01 -5.6113842925e-14)	(-5.3663403592e-01 -2.2268498266e-01 2.8150975052e-14)
1.4800000000e-03	object	(-7.0179968548e+01 -5.7765635816e+01 -5.5312221617e-14)	(-4.4024198441e-01 -2.1969704989e-01 3.2196483968e-14)
1.4900000000e-03	object	(-7.3916852871e+01 -5.7453828849e+01 -5.5422221630e-14)	(-4.3761068257e-01 -2.1963375519e-01 3.2200980915e-14)
1.5000000000e-03	object	(-7.3230335209e+01 -5.7334338042e+01 -5.5546083530e-14)	(-4.4213937713e-01 -2.2126278231e-01 3.3193890389e-14)
1.5100000000e-03	object	(-7.1491781906e+01 -5.7353034326e+01 -5.4827642726e-14)	(-4.8237030229e-01 -2.2334128332e-01 3.2311591702e-14)
1.5200000000e-03	object	(-7.0420167016e+01 -5.7404699217e+01 -5.4583476842e-14)	(-4.7734175905e-01 -2.2516690432e-01 3.1904765855e-14)
1.5300000000e-03	object	(-6.9782521230e+01 -5.7460744472e+01 -5.4704949590e-14)	(-4.2434056146e-01 -2.2498994329e-01 3.2682764065e-14)
1.5400000000e-03	object	(-6.9387533411e+01 -5.7513580089e+01 -4.7705732683e-14)	(-2.0954443431e-01 -2.2324146177e-01 3.2863219496e-14)
1.5500000000e-03	object	(-6.9160224455e+01 -5.7575957233e+01 -5.2397776185e-14)	(1.3598851909e-01 -2.1610165698e-01 3.4234153458e-14)
1.5600000000e-03	object	(-6.9100016601e+01 -5.7605357022e+01 -5.4514512300e-14)	(-1.0073246180e-01 -2.1110512451e-01 3.5426892929e-14)
1.5700000000e-03	object	(-6.9106620616e+01 -5.7589197857e+01 -4.0164378848e-14)	(-3.4924413908e-01 -2.1029185717e-01 2.7817838542e-14)
1.5800000000e-03	object	(-6.9045451910e+01 -5.7459550110e+01 -4.0142268878e-14)	(-3.8572046174e-01 -2.0936024927e-01 2.4994056993e-14)
1.5900000000e-03	object	(-6.8886099905e+01 -5.7000952146e+01 -4.0043003356e-14)	(-3.8346635801e-01 -2.0754147224e-01 2.4257854267e-14)
1.6000000000e-03	object	(-6.8121859720e+01 -5.6639654955e+01 -3.9949163558e-14)	(-3.8950043316e-01 -2.0661192110e-01 2.4574841152e-14)
1.6100000000e-03	object	(-6.6864826406e+01 -5.6510766041e+01 -4.0525358817e-14)	(-4.0196640437e-01 -2.0625969415e-01 2.5079498651e-14)
1.6200000000e-03	object	(-6.6599452288e+01 -5.6417450413e+01 -4.0209717271e-14)	(-4.1396875212e-01 -2.0551154287e-01 2.3330293109e-14)
1.6300000000e-03	object	(-6.6973867967e+01 -5.6306942907e+01 -3.4836074610e-14)	(-4.3794015840e-01 -2.0497193038e-01 2.1920510785e-14)
