# Force coefficients
# liftDir        : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# dragDir        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis      : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# magUInf        : 5.4100000000e+03
# lRef           : 6.6236897090e-01
# Aref           : 3.0629317000e-02
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	Cm               	Cd               	Cl               	Cl(f)            	Cl(r)            
0.00140000012    	-6.0038190873e-01	9.0060703385e-01	-3.2994653391e-01	-7.6535517569e-01	4.3540864178e-01
0.001400000264   	-6.0038186734e-01	9.0060699947e-01	-3.2994649567e-01	-7.6535511517e-01	4.3540861951e-01
0.001400000437   	-6.0038182315e-01	9.0060696406e-01	-3.2994645311e-01	-7.6535504970e-01	4.3540859659e-01
0.001400000644   	-6.0038177015e-01	9.0060692161e-01	-3.2994640206e-01	-7.6535497118e-01	4.3540856912e-01
0.001400000893   	-6.0038171328e-01	9.0060687516e-01	-3.2994634899e-01	-7.6535488778e-01	4.3540853879e-01
0.001400001192   	-6.0038164512e-01	9.0060681947e-01	-3.2994628536e-01	-7.6535478780e-01	4.3540850244e-01
0.00140000155    	-6.0038156342e-01	9.0060675272e-01	-3.2994620908e-01	-7.6535466796e-01	4.3540845888e-01
0.00140000198    	-6.0038146553e-01	9.0060667273e-01	-3.2994611764e-01	-7.6535452435e-01	4.3540840671e-01
0.001400002496   	-6.0038134827e-01	9.0060657691e-01	-3.2994600807e-01	-7.6535435230e-01	4.3540834423e-01
0.001400003115   	-6.0038120786e-01	9.0060646215e-01	-3.2994587679e-01	-7.6535414626e-01	4.3540826946e-01
0.001400003858   	-6.0038103981e-01	9.0060632478e-01	-3.2994571958e-01	-7.6535389959e-01	4.3540818002e-01
0.00140000475    	-6.0038083877e-01	9.0060616042e-01	-3.2994553137e-01	-7.6535360445e-01	4.3540807308e-01
0.001400005819   	-6.0038059840e-01	9.0060596386e-01	-3.2994530614e-01	-7.6535325147e-01	4.3540794533e-01
0.001400007103   	-6.0038031124e-01	9.0060572898e-01	-3.2994503677e-01	-7.6535282963e-01	4.3540779285e-01
0.001400008644   	-6.0037996848e-01	9.0060544856e-01	-3.2994471486e-01	-7.6535232591e-01	4.3540761106e-01
0.001400010493   	-6.0037955979e-01	9.0060511409e-01	-3.2994433042e-01	-7.6535172499e-01	4.3540739458e-01
0.001400012712   	-6.0037907304e-01	9.0060471563e-01	-3.2994387172e-01	-7.6535100890e-01	4.3540713718e-01
0.001400015374   	-6.0037849431e-01	9.0060424173e-01	-3.2994332514e-01	-7.6535015688e-01	4.3540683175e-01
0.00140001857    	-6.0037780744e-01	9.0060367909e-01	-3.2994267469e-01	-7.6534914479e-01	4.3540647009e-01
0.001400022404   	-6.0037699388e-01	9.0060301251e-01	-3.2994190183e-01	-7.6534794479e-01	4.3540604296e-01
0.001400027006   	-6.0037603271e-01	9.0060222485e-01	-3.2994098525e-01	-7.6534652534e-01	4.3540554009e-01
0.001400032528   	-6.0037490093e-01	9.0060129733e-01	-3.2993990103e-01	-7.6534485144e-01	4.3540495042e-01
0.001400039156   	-6.0037357280e-01	9.0060020908e-01	-3.2993862172e-01	-7.6534288366e-01	4.3540426194e-01
0.001400047112   	-6.0037202045e-01	9.0059893773e-01	-3.2993711664e-01	-7.6534057877e-01	4.3540346213e-01
0.001400056645   	-6.0037021841e-01	9.0059746329e-01	-3.2993535581e-01	-7.6533789632e-01	4.3540254051e-01
0.001400067755   	-6.0036819562e-01	9.0059581075e-01	-3.2993336100e-01	-7.6533487612e-01	4.3540151512e-01
0.00140008044    	-6.0036598285e-01	9.0059400701e-01	-3.2993115578e-01	-7.6533156073e-01	4.3540040496e-01
0.001400094692   	-6.0036361228e-01	9.0059208032e-01	-3.2992876561e-01	-7.6532799509e-01	4.3539922947e-01
0.001400110415   	-6.0036112921e-01	9.0059006944e-01	-3.2992623032e-01	-7.6532424437e-01	4.3539801405e-01
0.001400126138   	-6.0035877911e-01	9.0058817407e-01	-3.2992379890e-01	-7.6532067856e-01	4.3539687965e-01
0.00140014186    	-6.0035654941e-01	9.0058638318e-01	-3.2992146339e-01	-7.6531728110e-01	4.3539581771e-01
0.001400157583   	-6.0035442907e-01	9.0058468688e-01	-3.2991921659e-01	-7.6531403737e-01	4.3539482077e-01
0.001400173306   	-6.0035240839e-01	9.0058307643e-01	-3.2991705213e-01	-7.6531093446e-01	4.3539388233e-01
0.001400189028   	-6.0035047888e-01	9.0058154416e-01	-3.2991496429e-01	-7.6530796102e-01	4.3539299673e-01
0.001400204751   	-6.0034863305e-01	9.0058008333e-01	-3.2991294798e-01	-7.6530510705e-01	4.3539215906e-01
0.001400220474   	-6.0034686437e-01	9.0057868804e-01	-3.2991099865e-01	-7.6530236369e-01	4.3539136504e-01
0.001400236197   	-6.0034516703e-01	9.0057735313e-01	-3.2990911219e-01	-7.6529972313e-01	4.3539061094e-01
0.001400251919   	-6.0034353593e-01	9.0057607403e-01	-3.2990728493e-01	-7.6529717840e-01	4.3538989347e-01
0.001400267642   	-6.0034196653e-01	9.0057484674e-01	-3.2990551354e-01	-7.6529472330e-01	4.3538920976e-01
0.001400283365   	-6.0034045478e-01	9.0057366769e-01	-3.2990379501e-01	-7.6529235228e-01	4.3538855727e-01
0.001400299087   	-6.0033899705e-01	9.0057253372e-01	-3.2990212658e-01	-7.6529006035e-01	4.3538793376e-01
0.00140031481    	-6.0033759012e-01	9.0057144202e-01	-3.2990050577e-01	-7.6528784300e-01	4.3538733723e-01
0.001400330533   	-6.0033623104e-01	9.0057039005e-01	-3.2989893028e-01	-7.6528569618e-01	4.3538676590e-01
0.001400346256   	-6.0033491718e-01	9.0056937555e-01	-3.2989739801e-01	-7.6528361618e-01	4.3538621817e-01
0.001400361978   	-6.0033364613e-01	9.0056839647e-01	-3.2989590703e-01	-7.6528159965e-01	4.3538569262e-01
0.001400377701   	-6.0033241571e-01	9.0056745095e-01	-3.2989445556e-01	-7.6527964349e-01	4.3538518794e-01
0.001400393424   	-6.0033122393e-01	9.0056653730e-01	-3.2989304194e-01	-7.6527774490e-01	4.3538470296e-01
0.001400409146   	-6.0033006896e-01	9.0056565400e-01	-3.2989166465e-01	-7.6527590129e-01	4.3538423664e-01
0.001400424869   	-6.0032894912e-01	9.0056479963e-01	-3.2989032225e-01	-7.6527411025e-01	4.3538378799e-01
0.001400440592   	-6.0032786286e-01	9.0056397291e-01	-3.2988901343e-01	-7.6527236958e-01	4.3538335614e-01
0.001400456315   	-6.0032680875e-01	9.0056317265e-01	-3.2988773695e-01	-7.6527067723e-01	4.3538294028e-01
0.001400472037   	-6.0032578547e-01	9.0056239775e-01	-3.2988649163e-01	-7.6526903129e-01	4.3538253966e-01
0.00140048776    	-6.0032479179e-01	9.0056164719e-01	-3.2988527641e-01	-7.6526742999e-01	4.3538215359e-01
0.001400503483   	-6.0032382656e-01	9.0056092005e-01	-3.2988409024e-01	-7.6526587168e-01	4.3538178144e-01
0.001400519205   	-6.0032288871e-01	9.0056021543e-01	-3.2988293217e-01	-7.6526435479e-01	4.3538142262e-01
0.001400534928   	-6.0032197724e-01	9.0055953252e-01	-3.2988180130e-01	-7.6526287789e-01	4.3538107659e-01
0.001400550651   	-6.0032109122e-01	9.0055887056e-01	-3.2988069676e-01	-7.6526143960e-01	4.3538074284e-01
0.001400566373   	-6.0032022977e-01	9.0055822883e-01	-3.2987961774e-01	-7.6526003863e-01	4.3538042090e-01
0.001400582096   	-6.0031939205e-01	9.0055760666e-01	-3.2987856347e-01	-7.6525867378e-01	4.3538011031e-01
0.001400597819   	-6.0031857729e-01	9.0055700342e-01	-3.2987753323e-01	-7.6525734390e-01	4.3537981068e-01
0.001400613542   	-6.0031778475e-01	9.0055641850e-01	-3.2987652632e-01	-7.6525604791e-01	4.3537952160e-01
0.001400629264   	-6.0031701374e-01	9.0055585134e-01	-3.2987554208e-01	-7.6525478478e-01	4.3537924270e-01
0.001400644987   	-6.0031626359e-01	9.0055530140e-01	-3.2987457988e-01	-7.6525355353e-01	4.3537897365e-01
0.00140066071    	-6.0031553368e-01	9.0055476819e-01	-3.2987363912e-01	-7.6525235324e-01	4.3537871412e-01
0.001400676432   	-6.0031482341e-01	9.0055425121e-01	-3.2987271924e-01	-7.6525118302e-01	4.3537846379e-01
0.001400692155   	-6.0031413221e-01	9.0055375001e-01	-3.2987181967e-01	-7.6525004204e-01	4.3537822237e-01
0.001400707878   	-6.0031345954e-01	9.0055326414e-01	-3.2987093991e-01	-7.6524892950e-01	4.3537798959e-01
0.001400723601   	-6.0031280489e-01	9.0055279319e-01	-3.2987007944e-01	-7.6524784461e-01	4.3537776517e-01
0.001400739323   	-6.0031216777e-01	9.0055233677e-01	-3.2986923778e-01	-7.6524678666e-01	4.3537754888e-01
0.001400755046   	-6.0031154770e-01	9.0055189448e-01	-3.2986841448e-01	-7.6524575494e-01	4.3537734046e-01
0.001400770769   	-6.0031094423e-01	9.0055146596e-01	-3.2986760909e-01	-7.6524474877e-01	4.3537713969e-01
0.001400786491   	-6.0031035693e-01	9.0055105086e-01	-3.2986682117e-01	-7.6524376751e-01	4.3537694634e-01
0.001400802214   	-6.0030978537e-01	9.0055064883e-01	-3.2986605032e-01	-7.6524281053e-01	4.3537676021e-01
0.001400817937   	-6.0030922917e-01	9.0055025956e-01	-3.2986529614e-01	-7.6524187724e-01	4.3537658110e-01
0.00140083366    	-6.0030868794e-01	9.0054988272e-01	-3.2986455825e-01	-7.6524096706e-01	4.3537640882e-01
0.001400849382   	-6.0030816130e-01	9.0054951801e-01	-3.2986383627e-01	-7.6524007944e-01	4.3537624317e-01
0.001400865105   	-6.0030764891e-01	9.0054916515e-01	-3.2986312986e-01	-7.6523921384e-01	4.3537608397e-01
0.001400880828   	-6.0030715040e-01	9.0054882384e-01	-3.2986243867e-01	-7.6523836974e-01	4.3537593107e-01
0.00140089655    	-6.0030666546e-01	9.0054849381e-01	-3.2986176236e-01	-7.6523754664e-01	4.3537578428e-01
0.001400912273   	-6.0030619376e-01	9.0054817479e-01	-3.2986110061e-01	-7.6523674406e-01	4.3537564345e-01
0.001400927996   	-6.0030573499e-01	9.0054786654e-01	-3.2986045311e-01	-7.6523596154e-01	4.3537550843e-01
0.001400943719   	-6.0030528884e-01	9.0054756879e-01	-3.2985981956e-01	-7.6523519862e-01	4.3537537907e-01
0.001400959441   	-6.0030485504e-01	9.0054728132e-01	-3.2985919965e-01	-7.6523445486e-01	4.3537525521e-01
0.001400975164   	-6.0030443329e-01	9.0054700387e-01	-3.2985859312e-01	-7.6523372984e-01	4.3537513673e-01
0.001400990887   	-6.0030402332e-01	9.0054673622e-01	-3.2985799967e-01	-7.6523302315e-01	4.3537502348e-01
0.001401006609   	-6.0030362486e-01	9.0054647815e-01	-3.2985741904e-01	-7.6523233438e-01	4.3537491534e-01
0.001401022332   	-6.0030323766e-01	9.0054622945e-01	-3.2985685098e-01	-7.6523166315e-01	4.3537481217e-01
0.001401038055   	-6.0030286147e-01	9.0054598989e-01	-3.2985629522e-01	-7.6523100907e-01	4.3537471386e-01
0.001401053778   	-6.0030249603e-01	9.0054575928e-01	-3.2985575152e-01	-7.6523037179e-01	4.3537462027e-01
0.0014010695     	-6.0030214112e-01	9.0054553742e-01	-3.2985521964e-01	-7.6522975094e-01	4.3537453131e-01
0.001401085223   	-6.0030179651e-01	9.0054532410e-01	-3.2985469934e-01	-7.6522914618e-01	4.3537444684e-01
