# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4000001200e-03	(7.3469978404e+03 -2.6916472790e+03 1.3567540689e-16)	(7.3463765142e+03 -2.6924263456e+03 1.3777637854e-16)	(6.2132625665e-01 7.7906666089e-01 -2.1009716581e-18)
1.4000002640e-03	(7.3469975599e+03 -2.6916469670e+03 1.3568836561e-16)	(7.3463762344e+03 -2.6924260331e+03 1.3777634634e-16)	(6.2132552894e-01 7.7906611956e-01 -2.0879807246e-18)
1.4000004368e-03	(7.3469972711e+03 -2.6916466198e+03 1.3565366113e-16)	(7.3463759455e+03 -2.6924256859e+03 1.3777631090e-16)	(6.2132557467e-01 7.7906611361e-01 -2.1226497658e-18)
1.4000006442e-03	(7.3469969247e+03 -2.6916462034e+03 1.3568201924e-16)	(7.3463755991e+03 -2.6924252695e+03 1.3777626842e-16)	(6.2132563092e-01 7.7906610700e-01 -2.0942491788e-18)
1.4000008930e-03	(7.3469965458e+03 -2.6916457704e+03 1.3564768655e-16)	(7.3463752202e+03 -2.6924248366e+03 1.3777622134e-16)	(6.2132563151e-01 7.7906610802e-01 -2.1285347890e-18)
1.4000011916e-03	(7.3469960915e+03 -2.6916452514e+03 1.3569010495e-16)	(7.3463747659e+03 -2.6924243175e+03 1.3777616492e-16)	(6.2132563219e-01 7.7906610922e-01 -2.0860599771e-18)
1.4000015499e-03	(7.3469955470e+03 -2.6916446290e+03 1.3564475726e-16)	(7.3463742213e+03 -2.6924236952e+03 1.3777609735e-16)	(6.2132563345e-01 7.7906611078e-01 -2.1313400875e-18)
1.4000019799e-03	(7.3469948944e+03 -2.6916438831e+03 1.3565873818e-16)	(7.3463735688e+03 -2.6924229492e+03 1.3777601643e-16)	(6.2132563456e-01 7.7906611254e-01 -2.1172782532e-18)
1.4000024959e-03	(7.3469941127e+03 -2.6916429892e+03 1.3566754162e-16)	(7.3463727871e+03 -2.6924220553e+03 1.3777591959e-16)	(6.2132563589e-01 7.7906611466e-01 -2.1083779652e-18)
1.4000031150e-03	(7.3469931766e+03 -2.6916419183e+03 1.3565803553e-16)	(7.3463718509e+03 -2.6924209844e+03 1.3777580373e-16)	(6.2132563746e-01 7.7906611721e-01 -2.1177682052e-18)
1.4000038580e-03	(7.3469920559e+03 -2.6916406358e+03 1.3566880243e-16)	(7.3463707303e+03 -2.6924197019e+03 1.3777566523e-16)	(6.2132563932e-01 7.7906612026e-01 -2.1068627950e-18)
1.4000047496e-03	(7.3469907151e+03 -2.6916391004e+03 1.3565946832e-16)	(7.3463693894e+03 -2.6924181665e+03 1.3777549976e-16)	(6.2132564152e-01 7.7906612393e-01 -2.1160314456e-18)
1.4000058195e-03	(7.3469891116e+03 -2.6916372630e+03 1.3565227903e-16)	(7.3463677860e+03 -2.6924163292e+03 1.3777530225e-16)	(6.2132564411e-01 7.7906612835e-01 -2.1230232280e-18)
1.4000071034e-03	(7.3469871955e+03 -2.6916350656e+03 1.3563625573e-16)	(7.3463658699e+03 -2.6924141317e+03 1.3777506676e-16)	(6.2132564715e-01 7.7906613365e-01 -2.1388110284e-18)
1.4000086441e-03	(7.3469849079e+03 -2.6916324394e+03 1.3568115988e-16)	(7.3463635822e+03 -2.6924115056e+03 1.3777478633e-16)	(6.2132565071e-01 7.7906614001e-01 -2.0936264495e-18)
1.4000104930e-03	(7.3469821793e+03 -2.6916293032e+03 1.3566654675e-16)	(7.3463608537e+03 -2.6924083694e+03 1.3777445289e-16)	(6.2132565485e-01 7.7906614766e-01 -2.1079061426e-18)
1.4000127119e-03	(7.3469789288e+03 -2.6916255613e+03 1.3567228682e-16)	(7.3463576031e+03 -2.6924046274e+03 1.3777405711e-16)	(6.2132565966e-01 7.7906615684e-01 -2.1017702979e-18)
1.4000153745e-03	(7.3469750627e+03 -2.6916211023e+03 1.3567437821e-16)	(7.3463537371e+03 -2.6924001685e+03 1.3777358843e-16)	(6.2132566522e-01 7.7906616786e-01 -2.0992102161e-18)
1.4000185696e-03	(7.3469704729e+03 -2.6916157961e+03 1.3566385101e-16)	(7.3463491472e+03 -2.6923948623e+03 1.3777303483e-16)	(6.2132567161e-01 7.7906618105e-01 -2.1091838162e-18)
1.4000224041e-03	(7.3469650350e+03 -2.6916094912e+03 1.3565714738e-16)	(7.3463437093e+03 -2.6923885574e+03 1.3777238286e-16)	(6.2132567896e-01 7.7906619684e-01 -2.1152354791e-18)
1.4000270064e-03	(7.3469586094e+03 -2.6916020140e+03 1.3566163003e-16)	(7.3463372837e+03 -2.6923810802e+03 1.3777161785e-16)	(6.2132568740e-01 7.7906621566e-01 -2.1099878183e-18)
1.4000325285e-03	(7.3469510428e+03 -2.6915931691e+03 1.3568053600e-16)	(7.3463297171e+03 -2.6923722353e+03 1.3777072435e-16)	(6.2132569715e-01 7.7906623801e-01 -2.0901883491e-18)
1.4000391558e-03	(7.3469421651e+03 -2.6915827327e+03 1.3565455688e-16)	(7.3463208394e+03 -2.6923617990e+03 1.3776968599e-16)	(6.2132570858e-01 7.7906626437e-01 -2.1151291053e-18)
1.4000471118e-03	(7.3469317937e+03 -2.6915704545e+03 1.3565670306e-16)	(7.3463104679e+03 -2.6923495208e+03 1.3776848633e-16)	(6.2132572232e-01 7.7906629518e-01 -2.1117832742e-18)
1.4000566452e-03	(7.3469197654e+03 -2.6915560900e+03 1.3563604976e-16)	(7.3462984396e+03 -2.6923351563e+03 1.3776711292e-16)	(6.2132573940e-01 7.7906633066e-01 -2.1310631521e-18)
1.4000677551e-03	(7.3469062843e+03 -2.6915398166e+03 1.3566658342e-16)	(7.3462849585e+03 -2.6923188830e+03 1.3776559666e-16)	(6.2132576088e-01 7.7906636934e-01 -2.0990132437e-18)
1.4000804399e-03	(7.3468915697e+03 -2.6915218268e+03 1.3564507789e-16)	(7.3462702439e+03 -2.6923008932e+03 1.3776396982e-16)	(6.2132579062e-01 7.7906640651e-01 -2.1188919287e-18)
1.4000946922e-03	(7.3468758520e+03 -2.6915023283e+03 1.3563744262e-16)	(7.3462545262e+03 -2.6922813947e+03 1.3776226524e-16)	(6.2132583520e-01 7.7906643669e-01 -2.1248226127e-18)
1.4001104149e-03	(7.3468594476e+03 -2.6914816458e+03 1.3565609156e-16)	(7.3462381217e+03 -2.6922607122e+03 1.3776052404e-16)	(6.2132590064e-01 7.7906645255e-01 -2.1044324856e-18)
