# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4000001200e-03	(-1.3468916707e-17 -1.7415027517e-16 -3.2441591716e+03)	(-1.1951394512e-17 -1.7454106906e-16 -3.2438882509e+03)	(-1.5175221954e-18 3.9079388915e-19 -2.7092069791e-01)
1.4000002640e-03	(-1.3462666408e-17 -1.7415127376e-16 -3.2441589479e+03)	(-1.1951402301e-17 -1.7454104877e-16 -3.2438880276e+03)	(-1.5112641066e-18 3.8977501091e-19 -2.7092032141e-01)
1.4000004368e-03	(-1.3482502589e-17 -1.7414647754e-16 -3.2441587091e+03)	(-1.1951410813e-17 -1.7454102654e-16 -3.2438877887e+03)	(-1.5310917757e-18 3.9454900537e-19 -2.7092035053e-01)
1.4000006442e-03	(-1.3465539918e-17 -1.7415063248e-16 -3.2441584227e+03)	(-1.1951421017e-17 -1.7454099990e-16 -3.2438875023e+03)	(-1.5141189008e-18 3.9036741214e-19 -2.7092038626e-01)
1.4000008930e-03	(-1.3487444953e-17 -1.7414466972e-16 -3.2441581155e+03)	(-1.1951431459e-17 -1.7454097032e-16 -3.2438871951e+03)	(-1.5360134935e-18 3.9630060480e-19 -2.7092038647e-01)
1.4000011916e-03	(-1.3461855084e-17 -1.7415149291e-16 -3.2441577471e+03)	(-1.1951443968e-17 -1.7454093490e-16 -3.2438868267e+03)	(-1.5104111159e-18 3.8944198776e-19 -2.7092038671e-01)
1.4000015499e-03	(-1.3487600740e-17 -1.7414413378e-16 -3.2441573057e+03)	(-1.1951458946e-17 -1.7454089248e-16 -3.2438863853e+03)	(-1.5361417937e-18 3.9675870086e-19 -2.7092038727e-01)
1.4000019799e-03	(-1.3478241120e-17 -1.7414780785e-16 -3.2441567767e+03)	(-1.1951476875e-17 -1.7454084171e-16 -3.2438858563e+03)	(-1.5267642451e-18 3.9303386498e-19 -2.7092038769e-01)
1.4000024959e-03	(-1.3471552967e-17 -1.7414933399e-16 -3.2441561431e+03)	(-1.1951498323e-17 -1.7454078097e-16 -3.2438852227e+03)	(-1.5200546440e-18 3.9144697645e-19 -2.7092038820e-01)
1.4000031150e-03	(-1.3479112803e-17 -1.7414698054e-16 -3.2441553844e+03)	(-1.1951523966e-17 -1.7454070835e-16 -3.2438844640e+03)	(-1.5275888370e-18 3.9372780532e-19 -2.7092038881e-01)
1.4000038580e-03	(-1.3472678483e-17 -1.7414920533e-16 -3.2441544763e+03)	(-1.1951554601e-17 -1.7454062158e-16 -3.2438835559e+03)	(-1.5211238818e-18 3.9141625261e-19 -2.7092038952e-01)
1.4000047496e-03	(-1.3478779994e-17 -1.7414671636e-16 -3.2441533900e+03)	(-1.1951591167e-17 -1.7454051801e-16 -3.2438824696e+03)	(-1.5271888268e-18 3.9380165079e-19 -2.7092039035e-01)
1.4000058195e-03	(-1.3478942744e-17 -1.7414700154e-16 -3.2441520912e+03)	(-1.1951634770e-17 -1.7454039450e-16 -3.2438811708e+03)	(-1.5273079741e-18 3.9339296055e-19 -2.7092039133e-01)
1.4000071034e-03	(-1.3492065807e-17 -1.7414314428e-16 -3.2441505395e+03)	(-1.1951686695e-17 -1.7454024740e-16 -3.2438796191e+03)	(-1.5403791123e-18 3.9710311705e-19 -2.7092039248e-01)
1.4000086441e-03	(-1.3466898233e-17 -1.7414989885e-16 -3.2441486874e+03)	(-1.1951748432e-17 -1.7454007247e-16 -3.2438777670e+03)	(-1.5151498008e-18 3.9017361553e-19 -2.7092039381e-01)
1.4000104930e-03	(-1.3474672097e-17 -1.7414728557e-16 -3.2441464790e+03)	(-1.1951821703e-17 -1.7453986480e-16 -3.2438755587e+03)	(-1.5228503939e-18 3.9257923473e-19 -2.7092039535e-01)
1.4000127119e-03	(-1.3467319890e-17 -1.7414964565e-16 -3.2441438489e+03)	(-1.1951908474e-17 -1.7453961878e-16 -3.2438729285e+03)	(-1.5154114163e-18 3.8997312798e-19 -2.7092039713e-01)
1.4000153745e-03	(-1.3470227385e-17 -1.7414774168e-16 -3.2441407218e+03)	(-1.1952010938e-17 -1.7453932810e-16 -3.2438698014e+03)	(-1.5182164468e-18 3.9158642354e-19 -2.7092039916e-01)
1.4000185696e-03	(-1.3473571139e-17 -1.7414761025e-16 -3.2441370103e+03)	(-1.1952131545e-17 -1.7453898568e-16 -3.2438660899e+03)	(-1.5214395939e-18 3.9137542589e-19 -2.7092040149e-01)
1.4000224041e-03	(-1.3477297139e-17 -1.7414579932e-16 -3.2441326142e+03)	(-1.1952272963e-17 -1.7453858370e-16 -3.2438616938e+03)	(-1.5250241762e-18 3.9278438218e-19 -2.7092040414e-01)
1.4000270064e-03	(-1.3479017363e-17 -1.7414359508e-16 -3.2441274205e+03)	(-1.1952437993e-17 -1.7453811381e-16 -3.2438565001e+03)	(-1.5265793696e-18 3.9451872529e-19 -2.7092040718e-01)
