# Wall shear stress
# Time           	patch            	min              	max              
1.4100000000e-03	object	(-6.9487581302e+01 -5.8545242403e+01 -3.5617081175e-14)	(-3.6490891860e-01 -1.8965140193e-01 1.9562167711e-14)
1.4200000000e-03	object	(-6.9495051962e+01 -5.8548070672e+01 -3.5978894422e-14)	(-3.6497195077e-01 -1.8969094746e-01 2.1581177835e-14)
1.4300000000e-03	object	(-6.9497970861e+01 -5.8550728909e+01 -3.6398008453e-14)	(-3.6505104376e-01 -1.8972658308e-01 1.8250541429e-14)
1.4400000000e-03	object	(-6.9501013964e+01 -5.8553267184e+01 -3.6792462525e-14)	(-3.6526774049e-01 -1.8976408416e-01 1.9881599977e-14)
1.4500000000e-03	object	(-6.9503925791e+01 -5.8555657044e+01 -3.6310832763e-14)	(-3.6518993554e-01 -1.8979723938e-01 1.7434004427e-14)
1.4600000000e-03	object	(-6.9506718716e+01 -5.8558011336e+01 -3.5804124940e-14)	(-3.6482067424e-01 -1.8986417545e-01 1.8331073583e-14)
1.4700000000e-03	object	(-6.9509800062e+01 -5.8560635659e+01 -3.6231716622e-14)	(-3.6523673581e-01 -1.8994006514e-01 2.1531631488e-14)
1.4800000000e-03	object	(-6.9511725737e+01 -5.8562949426e+01 -3.6621380763e-14)	(-3.6558510370e-01 -1.8978339065e-01 1.9560397239e-14)
1.4900000000e-03	object	(-6.9513354565e+01 -5.8565204649e+01 -3.6145261532e-14)	(-3.6549618569e-01 -1.8985505424e-01 1.9170333151e-14)
1.5000000000e-03	object	(-6.9516388963e+01 -5.8567081883e+01 -3.6534835159e-14)	(-3.6543945570e-01 -1.9011206275e-01 2.0296201932e-14)
1.5100000000e-03	object	(-6.9518704151e+01 -5.8568752461e+01 -3.6033890733e-14)	(-3.6554877928e-01 -1.9014580395e-01 1.6587010279e-14)
1.5200000000e-03	object	(-6.9520726922e+01 -5.8570304119e+01 -3.6421071398e-14)	(-3.6564023748e-01 -1.8997698013e-01 2.0280677895e-14)
1.5300000000e-03	object	(-6.9522626511e+01 -5.8571792082e+01 -3.6849775859e-14)	(-3.6566416099e-01 -1.8996075802e-01 1.7325472744e-14)
1.5400000000e-03	object	(-6.9524431194e+01 -5.8573218599e+01 -3.6371722815e-14)	(-3.6572039966e-01 -1.9013819125e-01 2.1146786210e-14)
1.5500000000e-03	object	(-6.9526158632e+01 -5.8574628183e+01 -3.6764714214e-14)	(-3.6579381161e-01 -1.9021292604e-01 2.1033602491e-14)
1.5600000000e-03	object	(-6.9527834371e+01 -5.8576014456e+01 -3.6254239760e-14)	(-3.6582155798e-01 -1.9015140853e-01 1.6397209100e-14)
1.5700000000e-03	object	(-6.9529449875e+01 -5.8577302574e+01 -3.6643939125e-14)	(-3.6587047035e-01 -1.9014779282e-01 1.9831506884e-14)
1.5800000000e-03	object	(-6.9530979106e+01 -5.8578556877e+01 -3.6204563334e-14)	(-3.6594455043e-01 -1.9021640681e-01 1.7901796833e-14)
1.5900000000e-03	object	(-6.9532411783e+01 -5.8579793749e+01 -3.6591658310e-14)	(-3.6596754922e-01 -1.9025391910e-01 1.6756927149e-14)
1.6000000000e-03	object	(-6.9533750073e+01 -5.8580958826e+01 -3.6088291621e-14)	(-3.6599948913e-01 -1.9026207974e-01 1.8669400522e-14)
1.6100000000e-03	object	(-6.9535017180e+01 -5.8582055903e+01 -3.6474419042e-14)	(-3.6605512462e-01 -1.9028508640e-01 2.0912716196e-14)
1.6200000000e-03	object	(-6.9536247997e+01 -5.8583118779e+01 -3.6903593035e-14)	(-3.6609397890e-01 -1.9031131798e-01 2.1030084296e-14)
1.6300000000e-03	object	(-6.9537504027e+01 -5.8584145474e+01 -3.6425072525e-14)	(-3.6612385166e-01 -1.9032973171e-01 1.8740548752e-14)
1.6400000000e-03	object	(-6.9538732684e+01 -5.8585132858e+01 -3.6818216795e-14)	(-3.6616126131e-01 -1.9034821863e-01 1.8095990642e-14)
1.6500000000e-03	object	(-6.9539841513e+01 -5.8586082396e+01 -3.6342903426e-14)	(-3.6619943516e-01 -1.9037052191e-01 2.2506717912e-14)
1.6600000000e-03	object	(-6.9540858880e+01 -5.8587004416e+01 -3.6733975128e-14)	(-3.6623545253e-01 -1.9039214303e-01 1.8064598252e-14)
1.6700000000e-03	object	(-6.9541836019e+01 -5.8587912690e+01 -3.6261921065e-14)	(-3.6627096310e-01 -1.9041087068e-01 1.6912568978e-14)
1.6800000000e-03	object	(-6.9542786916e+01 -5.8588808539e+01 -3.6650341303e-14)	(-3.6630515480e-01 -1.9042883941e-01 1.6005065100e-14)
1.6900000000e-03	object	(-6.9543713404e+01 -5.8589679475e+01 -3.6181308117e-14)	(-3.6633655171e-01 -1.9044730310e-01 1.7686741619e-14)
1.7000000000e-03	object	(-6.9544615158e+01 -5.8590509884e+01 -3.6567971087e-14)	(-3.6636634878e-01 -1.9046482162e-01 2.0534797786e-14)
1.7100000000e-03	object	(-6.9545493288e+01 -5.8591290078e+01 -3.6965559596e-14)	(-3.6639640075e-01 -1.9048029570e-01 2.0942514024e-14)
1.7200000000e-03	object	(-6.9546349465e+01 -5.8592028068e+01 -3.6452824124e-14)	(-3.6642522979e-01 -1.9049456630e-01 2.0772120944e-14)
1.7300000000e-03	object	(-6.9547181307e+01 -5.8592743248e+01 -3.6881666609e-14)	(-3.6645218755e-01 -1.9050897786e-01 2.0159156920e-14)
1.7400000000e-03	object	(-6.9547984164e+01 -5.8593445937e+01 -3.6405856488e-14)	(-3.6647903045e-01 -1.9052352585e-01 1.7726336933e-14)
1.7500000000e-03	object	(-6.9548754448e+01 -5.8594129266e+01 -3.6764281710e-14)	(-3.6650553021e-01 -1.9053771258e-01 1.7599547110e-14)
1.7600000000e-03	object	(-6.9549491229e+01 -5.8594781470e+01 -3.6325698279e-14)	(-3.6652979335e-01 -1.9055224504e-01 1.6454238862e-14)
1.7700000000e-03	object	(-6.9550200310e+01 -5.8595400107e+01 -3.6681394079e-14)	(-3.6655445782e-01 -1.9056570852e-01 1.7839177385e-14)
1.7800000000e-03	object	(-6.9550890372e+01 -5.8595991419e+01 -3.6246022152e-14)	(-3.6657831144e-01 -1.9057725848e-01 1.8234658293e-14)
1.7900000000e-03	object	(-6.9551563020e+01 -5.8596560551e+01 -3.6634071962e-14)	(-3.6659948693e-01 -1.9058922865e-01 1.8080904547e-14)
1.8000000000e-03	object	(-6.9552213734e+01 -5.8597106949e+01 -3.7033606751e-14)	(-3.6662022874e-01 -1.9060092681e-01 1.6184849524e-14)
1.8100000000e-03	object	(-6.9552839848e+01 -5.8597626957e+01 -3.6518485552e-14)	(-3.6664056428e-01 -1.9061212637e-01 1.5803232815e-14)
1.8200000000e-03	object	(-6.9553442391e+01 -5.8598117998e+01 -3.6946888154e-14)	(-3.6666031241e-01 -1.9062289522e-01 1.6426763487e-14)
1.8300000000e-03	object	(-6.9554022503e+01 -5.8598579836e+01 -3.6468682453e-14)	(-3.6667932023e-01 -1.9063319095e-01 1.7598272902e-14)
1.8400000000e-03	object	(-6.9554580086e+01 -5.8599014192e+01 -3.6826396928e-14)	(-3.6669742659e-01 -1.9064293759e-01 1.9500405042e-14)
1.8500000000e-03	object	(-6.9555114111e+01 -5.8599428271e+01 -3.6384818356e-14)	(-3.6671461641e-01 -1.9065216830e-01 2.2489301100e-14)
1.8600000000e-03	object	(-6.9555620434e+01 -5.8599822398e+01 -3.6773481793e-14)	(-3.6673107757e-01 -1.9066105901e-01 2.2322731778e-14)
1.8700000000e-03	object	(-6.9556105695e+01 -5.8600198265e+01 -3.6301358951e-14)	(-3.6674705709e-01 -1.9066980338e-01 2.2734073042e-14)
1.8800000000e-03	object	(-6.9556570526e+01 -5.8600558431e+01 -3.6654696351e-14)	(-3.6676247461e-01 -1.9067848361e-01 2.2277948643e-14)
1.8900000000e-03	object	(-6.9557014183e+01 -5.8600904604e+01 -3.7086950952e-14)	(-3.6677734339e-01 -1.9068705231e-01 2.2109578158e-14)
1.9000000000e-03	object	(-6.9557438811e+01 -5.8601238188e+01 -3.6604789964e-14)	(-3.6679195995e-01 -1.9069543644e-01 2.0139870332e-14)
1.9100000000e-03	object	(-6.9557845245e+01 -5.8601560599e+01 -3.7000782288e-14)	(-3.6680633554e-01 -1.9070359916e-01 1.8470246527e-14)
1.9200000000e-03	object	(-6.9558234254e+01 -5.8601874486e+01 -3.6521857047e-14)	(-3.6682032992e-01 -1.9071150869e-01 1.8081791208e-14)
1.9300000000e-03	object	(-6.9558605078e+01 -5.8602181882e+01 -3.6881383178e-14)	(-3.6683387594e-01 -1.9071911389e-01 1.7946290787e-14)
1.9400000000e-03	object	(-6.9558960752e+01 -5.8602481784e+01 -3.6439849190e-14)	(-3.6684693057e-01 -1.9072631809e-01 1.7556150811e-14)
1.9500000000e-03	object	(-6.9559306449e+01 -5.8602772257e+01 -3.6830366203e-14)	(-3.6685945861e-01 -1.9073303710e-01 1.5895413064e-14)
1.9600000000e-03	object	(-6.9559639457e+01 -5.8603052098e+01 -3.6324209797e-14)	(-3.6687146843e-01 -1.9073932453e-01 1.5771045875e-14)
1.9700000000e-03	object	(-6.9559959950e+01 -5.8603320978e+01 -3.6746394471e-14)	(-3.6688301256e-01 -1.9074534718e-01 1.5903137461e-14)
1.9800000000e-03	object	(-6.9560269001e+01 -5.8603579122e+01 -3.6276529357e-14)	(-3.6689414188e-01 -1.9075122448e-01 1.5780069256e-14)
1.9900000000e-03	object	(-6.9560567426e+01 -5.8603827090e+01 -3.6629938787e-14)	(-3.6690488726e-01 -1.9075695986e-01 1.5659032645e-14)
2.0000000000e-03	object	(-6.9560855461e+01 -5.8604065656e+01 -3.7059802803e-14)	(-3.6691528040e-01 -1.9076255165e-01 1.5790958068e-14)
2.0100000000e-03	object	(-6.9561133224e+01 -5.8604295670e+01 -3.6581172567e-14)	(-3.6692535391e-01 -1.9076805410e-01 1.6434776452e-14)
2.0200000000e-03	object	(-6.9561400986e+01 -5.8604517895e+01 -3.6975032651e-14)	(-3.6693510890e-01 -1.9077343416e-01 1.6569947214e-14)
2.0300000000e-03	object	(-6.9561659075e+01 -5.8604732903e+01 -3.6465500526e-14)	(-3.6694453144e-01 -1.9077863723e-01 1.6446662822e-14)
2.0400000000e-03	object	(-6.9561907839e+01 -5.8604941123e+01 -3.6891418624e-14)	(-3.6695363413e-01 -1.9078366916e-01 1.6325270979e-14)
2.0500000000e-03	object	(-6.9562147647e+01 -5.8605142931e+01 -3.6419097002e-14)	(-3.6696243975e-01 -1.9078852294e-01 1.6204113953e-14)
2.0600000000e-03	object	(-6.9562378897e+01 -5.8605338659e+01 -3.6773611964e-14)	(-3.6697098290e-01 -1.9079316282e-01 1.6336904729e-14)
2.0700000000e-03	object	(-6.9562602039e+01 -5.8605528572e+01 -3.6338046939e-14)	(-3.6697922645e-01 -1.9079764812e-01 1.6213899241e-14)
2.0800000000e-03	object	(-6.9562817543e+01 -5.8605712862e+01 -3.6690193143e-14)	(-3.6698711513e-01 -1.9080209708e-01 1.5837791487e-14)
2.0900000000e-03	object	(-6.9563025837e+01 -5.8605891662e+01 -3.7120778836e-14)	(-3.6699486072e-01 -1.9080645943e-01 1.5461407125e-14)
2.1000000000e-03	object	(-6.9563227288e+01 -5.8606065069e+01 -3.6641240835e-14)	(-3.6700248435e-01 -1.9081060781e-01 1.5596149967e-14)
