# Force coefficients
# liftDir        : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# dragDir        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis      : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# magUInf        : 5.4100000000e+03
# lRef           : 6.6236897090e-01
# Aref           : 3.0629317000e-02
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	Cm               	Cd               	Cl               	Cl(f)            	Cl(r)            
0.001430015699   	-5.8997852944e-01	8.8721909217e-01	-3.2455459723e-01	-7.5225582806e-01	4.2770123082e-01
0.001430031397   	-5.8997314142e-01	8.8721342301e-01	-3.2455191392e-01	-7.5224909838e-01	4.2769718446e-01
0.001430047096   	-5.8996775369e-01	8.8720775544e-01	-3.2454923082e-01	-7.5224236911e-01	4.2769313828e-01
0.001430062794   	-5.8996236633e-01	8.8720208953e-01	-3.2454654798e-01	-7.5223564032e-01	4.2768909234e-01
0.001430078493   	-5.8995697935e-01	8.8719642528e-01	-3.2454386539e-01	-7.5222891204e-01	4.2768504665e-01
0.001430094192   	-5.8995159276e-01	8.8719076273e-01	-3.2454118307e-01	-7.5222218430e-01	4.2768100123e-01
0.00143010989    	-5.8994620658e-01	8.8718510187e-01	-3.2453850102e-01	-7.5221545709e-01	4.2767695607e-01
0.001430125589   	-5.8994082081e-01	8.8717944271e-01	-3.2453581924e-01	-7.5220873043e-01	4.2767291119e-01
0.001430141287   	-5.8993543545e-01	8.8717378526e-01	-3.2453313774e-01	-7.5220200431e-01	4.2766886658e-01
0.001430156986   	-5.8993005050e-01	8.8716812952e-01	-3.2453045651e-01	-7.5219527875e-01	4.2766482225e-01
0.001430172684   	-5.8992466597e-01	8.8716247549e-01	-3.2452777555e-01	-7.5218855375e-01	4.2766077820e-01
0.001430188383   	-5.8991928186e-01	8.8715682316e-01	-3.2452509487e-01	-7.5218182929e-01	4.2765673442e-01
0.001430204082   	-5.8991389817e-01	8.8715117255e-01	-3.2452241447e-01	-7.5217510540e-01	4.2765269093e-01
0.00143021978    	-5.8990851490e-01	8.8714552366e-01	-3.2451973435e-01	-7.5216838207e-01	4.2764864773e-01
0.001430235479   	-5.8990313205e-01	8.8713987648e-01	-3.2451705450e-01	-7.5216165930e-01	4.2764460480e-01
0.001430251177   	-5.8989774963e-01	8.8713423102e-01	-3.2451437493e-01	-7.5215493710e-01	4.2764056217e-01
0.001430266876   	-5.8989236764e-01	8.8712858728e-01	-3.2451169565e-01	-7.5214821547e-01	4.2763651982e-01
