# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4300156986e-03	(7.2377813066e+03 -2.6476607836e+03 1.2519289713e-03)	(7.2371694558e+03 -2.6484149116e+03 1.3659926855e-16)	(6.1185075126e-01 7.5412800983e-01 1.2519289713e-03)
1.4300313972e-03	(7.2377350585e+03 -2.6476388936e+03 1.2524903980e-03)	(7.2371232117e+03 -2.6483930089e+03 1.3659897457e-16)	(6.1184677663e-01 7.5411535729e-01 1.2524903980e-03)
1.4300470958e-03	(7.2376888234e+03 -2.6476170054e+03 1.2530517190e-03)	(7.2370769807e+03 -2.6483711081e+03 1.3659868080e-16)	(6.1184279097e-01 7.5410268976e-01 1.2530517190e-03)
1.4300627943e-03	(7.2376426019e+03 -2.6475951192e+03 1.2536129752e-03)	(7.2370307631e+03 -2.6483492092e+03 1.3659838723e-16)	(6.1183881077e-01 7.5409003095e-01 1.2536129752e-03)
1.4300784929e-03	(7.2375963940e+03 -2.6475732351e+03 1.2541741532e-03)	(7.2369845591e+03 -2.6483273125e+03 1.3659809386e-16)	(6.1183483050e-01 7.5407737298e-01 1.2541741532e-03)
1.4300941915e-03	(7.2375501998e+03 -2.6475513532e+03 1.2547352530e-03)	(7.2369383690e+03 -2.6483054179e+03 1.3659780071e-16)	(6.1183085023e-01 7.5406471591e-01 1.2547352530e-03)
1.4301098901e-03	(7.2375040195e+03 -2.6475294735e+03 1.2552962745e-03)	(7.2368921926e+03 -2.6482835255e+03 1.3659750776e-16)	(6.1182686994e-01 7.5405205972e-01 1.2552962745e-03)
1.4301255887e-03	(7.2374578531e+03 -2.6475075960e+03 1.2558572179e-03)	(7.2368460302e+03 -2.6482616354e+03 1.3659721501e-16)	(6.1182288963e-01 7.5403940440e-01 1.2558572179e-03)
1.4301412873e-03	(7.2374117005e+03 -2.6474857207e+03 1.2564180832e-03)	(7.2367998816e+03 -2.6482397475e+03 1.3659692247e-16)	(6.1181890931e-01 7.5402674997e-01 1.2564180832e-03)
1.4301569859e-03	(7.2373655620e+03 -2.6474638477e+03 1.2569788702e-03)	(7.2367537470e+03 -2.6482178618e+03 1.3659663013e-16)	(6.1181492896e-01 7.5401409642e-01 1.2569788702e-03)
1.4301726845e-03	(7.2373194373e+03 -2.6474419769e+03 1.2575395792e-03)	(7.2367076264e+03 -2.6481959784e+03 1.3659633800e-16)	(6.1181094861e-01 7.5400144374e-01 1.2575395792e-03)
1.4301883830e-03	(7.2372733266e+03 -2.6474201084e+03 1.2581002101e-03)	(7.2366615197e+03 -2.6481740972e+03 1.3659604607e-16)	(6.1180696823e-01 7.5398879195e-01 1.2581002101e-03)
1.4302040816e-03	(7.2372272299e+03 -2.6473982421e+03 1.2586607629e-03)	(7.2366154270e+03 -2.6481522183e+03 1.3659575435e-16)	(6.1180298784e-01 7.5397614103e-01 1.2586607629e-03)
1.4302197802e-03	(7.2371811472e+03 -2.6473763781e+03 1.2592212376e-03)	(7.2365693482e+03 -2.6481303416e+03 1.3659546284e-16)	(6.1179900744e-01 7.5396349099e-01 1.2592212376e-03)
1.4302354788e-03	(7.2371350785e+03 -2.6473545164e+03 1.2597816343e-03)	(7.2365232835e+03 -2.6481084673e+03 1.3659517153e-16)	(6.1179502703e-01 7.5395084183e-01 1.2597816343e-03)
1.4302511774e-03	(7.2370890238e+03 -2.6473326570e+03 1.2603419530e-03)	(7.2364772328e+03 -2.6480865952e+03 1.3659488042e-16)	(6.1179104660e-01 7.5393819354e-01 1.2603419530e-03)
1.4302668760e-03	(7.2370429831e+03 -2.6473107998e+03 1.2609021936e-03)	(7.2364311961e+03 -2.6480647254e+03 1.3659458952e-16)	(6.1178706616e-01 7.5392554614e-01 1.2609021936e-03)
1.4302825746e-03	(7.2369969565e+03 -2.6472889450e+03 1.2614623564e-03)	(7.2363851734e+03 -2.6480428579e+03 1.3659429882e-16)	(6.1178308571e-01 7.5391289961e-01 1.2614623564e-03)
1.4302982732e-03	(7.2369509439e+03 -2.6472670924e+03 1.2620224411e-03)	(7.2363391648e+03 -2.6480209927e+03 1.3659400833e-16)	(6.1177910525e-01 7.5390025396e-01 1.2620224411e-03)
1.4303139717e-03	(7.2369049453e+03 -2.6472452422e+03 1.2625824479e-03)	(7.2362931702e+03 -2.6479991298e+03 1.3659371804e-16)	(6.1177512477e-01 7.5388760919e-01 1.2625824479e-03)
1.4303296703e-03	(7.2368589609e+03 -2.6472233942e+03 1.2631423768e-03)	(7.2362471897e+03 -2.6479772692e+03 1.3659342796e-16)	(6.1177114429e-01 7.5387496529e-01 1.2631423768e-03)
1.4303453689e-03	(7.2368129905e+03 -2.6472015486e+03 1.2637022279e-03)	(7.2362012233e+03 -2.6479554110e+03 1.3659313809e-16)	(6.1176716380e-01 7.5386232228e-01 1.2637022279e-03)
1.4303610675e-03	(7.2367670342e+03 -2.6471797053e+03 1.2642620010e-03)	(7.2361552710e+03 -2.6479335550e+03 1.3659284841e-16)	(6.1176318330e-01 7.5384968014e-01 1.2642620010e-03)
1.4303767661e-03	(7.2367210920e+03 -2.6471578644e+03 1.2648216963e-03)	(7.2361093328e+03 -2.6479117014e+03 1.3659255894e-16)	(6.1175920279e-01 7.5383703888e-01 1.2648216963e-03)
1.4303924647e-03	(7.2366751639e+03 -2.6471360257e+03 1.2653813138e-03)	(7.2360634087e+03 -2.6478898501e+03 1.3659226968e-16)	(6.1175522227e-01 7.5382439850e-01 1.2653813138e-03)
1.4304081633e-03	(7.2366292499e+03 -2.6471141895e+03 1.2659408534e-03)	(7.2360174987e+03 -2.6478680012e+03 1.3659198062e-16)	(6.1175124175e-01 7.5381175900e-01 1.2659408534e-03)
1.4304238619e-03	(7.2365833501e+03 -2.6470923555e+03 1.2665003153e-03)	(7.2359716029e+03 -2.6478461546e+03 1.3659169176e-16)	(6.1174726122e-01 7.5379912037e-01 1.2665003153e-03)
1.4304395604e-03	(7.2365374645e+03 -2.6470705239e+03 1.2670596994e-03)	(7.2359257212e+03 -2.6478243104e+03 1.3659140311e-16)	(6.1174328067e-01 7.5378648263e-01 1.2670596994e-03)
1.4304552590e-03	(7.2364915929e+03 -2.6470486947e+03 1.2676190057e-03)	(7.2358798536e+03 -2.6478024685e+03 1.3659111466e-16)	(6.1173930013e-01 7.5377384576e-01 1.2676190057e-03)
1.4304709576e-03	(7.2364457356e+03 -2.6470268678e+03 1.2681782344e-03)	(7.2358340003e+03 -2.6477806290e+03 1.3659082642e-16)	(6.1173531957e-01 7.5376120977e-01 1.2681782344e-03)
