# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4300156986e-03	(6.4301638876e-04 -1.5808298993e-04 -3.1879445891e+03)	(-1.0194787991e-17 -1.6925410220e-16 -3.1876761882e+03)	(6.4301638876e-04 -1.5808298993e-04 -2.6840085680e-01)
1.4300313972e-03	(6.4330761614e-04 -1.5815456731e-04 -3.1879154749e+03)	(-1.0193803891e-17 -1.6925127288e-16 -3.1876470749e+03)	(6.4330761614e-04 -1.5815456731e-04 -2.6840005771e-01)
1.4300470958e-03	(6.4359879193e-04 -1.5822613218e-04 -3.1878863624e+03)	(-1.0192819835e-17 -1.6924844367e-16 -3.1876179631e+03)	(6.4359879193e-04 -1.5822613218e-04 -2.6839925414e-01)
1.4300627943e-03	(6.4388993754e-04 -1.5829768970e-04 -3.1878572518e+03)	(-1.0191835837e-17 -1.6924561461e-16 -3.1875888534e+03)	(6.4388993754e-04 -1.5829768970e-04 -2.6839845270e-01)
1.4300784929e-03	(6.4418104588e-04 -1.5836923815e-04 -3.1878281433e+03)	(-1.0190851902e-17 -1.6924278571e-16 -3.1875597456e+03)	(6.4418104588e-04 -1.5836923815e-04 -2.6839765119e-01)
1.4300941915e-03	(6.4447211698e-04 -1.5844077755e-04 -3.1877990369e+03)	(-1.0189868034e-17 -1.6923995697e-16 -3.1875306401e+03)	(6.4447211698e-04 -1.5844077755e-04 -2.6839684962e-01)
1.4301098901e-03	(6.4476315086e-04 -1.5851230790e-04 -3.1877699327e+03)	(-1.0188884234e-17 -1.6923712840e-16 -3.1875015367e+03)	(6.4476315086e-04 -1.5851230790e-04 -2.6839604799e-01)
1.4301255887e-03	(6.4505414752e-04 -1.5858382921e-04 -3.1877408307e+03)	(-1.0187900502e-17 -1.6923430000e-16 -3.1874724355e+03)	(6.4505414752e-04 -1.5858382921e-04 -2.6839524630e-01)
1.4301412873e-03	(6.4534510697e-04 -1.5865534146e-04 -3.1877117310e+03)	(-1.0186916840e-17 -1.6923147177e-16 -3.1874433365e+03)	(6.4534510697e-04 -1.5865534146e-04 -2.6839444455e-01)
1.4301569859e-03	(6.4563602923e-04 -1.5872684468e-04 -3.1876826335e+03)	(-1.0185933246e-17 -1.6922864372e-16 -3.1874142398e+03)	(6.4563602923e-04 -1.5872684468e-04 -2.6839364273e-01)
1.4301726845e-03	(6.4592691430e-04 -1.5879833885e-04 -3.1876535382e+03)	(-1.0184949723e-17 -1.6922581584e-16 -3.1873851454e+03)	(6.4592691430e-04 -1.5879833885e-04 -2.6839284086e-01)
1.4301883830e-03	(6.4621776219e-04 -1.5886982399e-04 -3.1876244452e+03)	(-1.0183966270e-17 -1.6922298813e-16 -3.1873560532e+03)	(6.4621776219e-04 -1.5886982399e-04 -2.6839203893e-01)
1.4302040816e-03	(6.4650857292e-04 -1.5894130009e-04 -3.1875953545e+03)	(-1.0182982888e-17 -1.6922016060e-16 -3.1873269632e+03)	(6.4650857292e-04 -1.5894130009e-04 -2.6839123693e-01)
1.4302197802e-03	(6.4679934649e-04 -1.5901276716e-04 -3.1875662660e+03)	(-1.0181999576e-17 -1.6921733325e-16 -3.1872978756e+03)	(6.4679934649e-04 -1.5901276716e-04 -2.6839043488e-01)
1.4302354788e-03	(6.4709008292e-04 -1.5908422520e-04 -3.1875371798e+03)	(-1.0181016336e-17 -1.6921450607e-16 -3.1872687902e+03)	(6.4709008292e-04 -1.5908422520e-04 -2.6838963278e-01)
1.4302511774e-03	(6.4738078221e-04 -1.5915567421e-04 -3.1875080960e+03)	(-1.0180033167e-17 -1.6921167907e-16 -3.1872397071e+03)	(6.4738078221e-04 -1.5915567421e-04 -2.6838883061e-01)
1.4302668760e-03	(6.4767144437e-04 -1.5922711419e-04 -3.1874790144e+03)	(-1.0179050070e-17 -1.6920885225e-16 -3.1872106264e+03)	(6.4767144437e-04 -1.5922711419e-04 -2.6838802839e-01)
1.4302825746e-03	(6.4796206943e-04 -1.5929854516e-04 -3.1874499352e+03)	(-1.0178067046e-17 -1.6920602562e-16 -3.1871815479e+03)	(6.4796206943e-04 -1.5929854516e-04 -2.6838722611e-01)
1.4302982732e-03	(6.4825265738e-04 -1.5936996710e-04 -3.1874208582e+03)	(-1.0177084094e-17 -1.6920319916e-16 -3.1871524718e+03)	(6.4825265738e-04 -1.5936996710e-04 -2.6838642377e-01)
1.4303139717e-03	(6.4854320823e-04 -1.5944138003e-04 -3.1873917837e+03)	(-1.0176101215e-17 -1.6920037288e-16 -3.1871233980e+03)	(6.4854320823e-04 -1.5944138003e-04 -2.6838562137e-01)
1.4303296703e-03	(6.4883372200e-04 -1.5951278394e-04 -3.1873627114e+03)	(-1.0175118410e-17 -1.6919754679e-16 -3.1870943266e+03)	(6.4883372200e-04 -1.5951278394e-04 -2.6838481892e-01)
1.4303453689e-03	(6.4912419871e-04 -1.5958417884e-04 -3.1873336415e+03)	(-1.0174135678e-17 -1.6919472088e-16 -3.1870652575e+03)	(6.4912419871e-04 -1.5958417884e-04 -2.6838401641e-01)
1.4303610675e-03	(6.4941463834e-04 -1.5965556474e-04 -3.1873045740e+03)	(-1.0173153021e-17 -1.6919189516e-16 -3.1870361907e+03)	(6.4941463834e-04 -1.5965556474e-04 -2.6838321385e-01)
1.4303767661e-03	(6.4970504093e-04 -1.5972694162e-04 -3.1872755088e+03)	(-1.0172170437e-17 -1.6918906962e-16 -3.1870071264e+03)	(6.4970504093e-04 -1.5972694162e-04 -2.6838241123e-01)
1.4303924647e-03	(6.4999540648e-04 -1.5979830950e-04 -3.1872464460e+03)	(-1.0171187929e-17 -1.6918624426e-16 -3.1869780644e+03)	(6.4999540648e-04 -1.5979830950e-04 -2.6838160856e-01)
1.4304081633e-03	(6.5028573499e-04 -1.5986966838e-04 -3.1872173855e+03)	(-1.0170205496e-17 -1.6918341909e-16 -3.1869490047e+03)	(6.5028573499e-04 -1.5986966838e-04 -2.6838080583e-01)
1.4304238619e-03	(6.5057602648e-04 -1.5994101826e-04 -3.1871883275e+03)	(-1.0169223138e-17 -1.6918059411e-16 -3.1869199475e+03)	(6.5057602648e-04 -1.5994101826e-04 -2.6838000304e-01)
1.4304395604e-03	(6.5086628097e-04 -1.6001235915e-04 -3.1871592719e+03)	(-1.0168240856e-17 -1.6917776932e-16 -3.1868908927e+03)	(6.5086628097e-04 -1.6001235915e-04 -2.6837920020e-01)
1.4304552590e-03	(6.5115649845e-04 -1.6008369104e-04 -3.1871302186e+03)	(-1.0167258650e-17 -1.6917494472e-16 -3.1868618402e+03)	(6.5115649845e-04 -1.6008369104e-04 -2.6837839730e-01)
1.4304709576e-03	(6.5144667895e-04 -1.6015501394e-04 -3.1871011678e+03)	(-1.0166276520e-17 -1.6917212031e-16 -3.1868327902e+03)	(6.5144667895e-04 -1.6015501394e-04 -2.6837759435e-01)
1.4304866562e-03	(6.5173682246e-04 -1.6022632785e-04 -3.1870721194e+03)	(-1.0165294467e-17 -1.6916929609e-16 -3.1868037426e+03)	(6.5173682246e-04 -1.6022632785e-04 -2.6837679134e-01)
1.4305023548e-03	(6.5202692901e-04 -1.6029763277e-04 -3.1870430734e+03)	(-1.0164312492e-17 -1.6916647205e-16 -3.1867746975e+03)	(6.5202692901e-04 -1.6029763277e-04 -2.6837598828e-01)
1.4305180534e-03	(6.5231699860e-04 -1.6036892872e-04 -3.1870140299e+03)	(-1.0163330594e-17 -1.6916364822e-16 -3.1867456547e+03)	(6.5231699860e-04 -1.6036892872e-04 -2.6837518517e-01)
1.4305337520e-03	(6.5260703123e-04 -1.6044021568e-04 -3.1869849888e+03)	(-1.0162348773e-17 -1.6916082457e-16 -3.1867166144e+03)	(6.5260703123e-04 -1.6044021568e-04 -2.6837438200e-01)
1.4305494505e-03	(6.5289702694e-04 -1.6051149366e-04 -3.1869559502e+03)	(-1.0161367031e-17 -1.6915800112e-16 -3.1866875766e+03)	(6.5289702694e-04 -1.6051149366e-04 -2.6837357877e-01)
1.4305651491e-03	(6.5318698571e-04 -1.6058276267e-04 -3.1869269140e+03)	(-1.0160385367e-17 -1.6915517786e-16 -3.1866585412e+03)	(6.5318698571e-04 -1.6058276267e-04 -2.6837277549e-01)
1.4305808477e-03	(6.5347690757e-04 -1.6065402270e-04 -3.1868978803e+03)	(-1.0159403782e-17 -1.6915235480e-16 -3.1866295083e+03)	(6.5347690757e-04 -1.6065402270e-04 -2.6837197215e-01)
1.4305965463e-03	(6.5376679252e-04 -1.6072527377e-04 -3.1868688491e+03)	(-1.0158422276e-17 -1.6914953193e-16 -3.1866004779e+03)	(6.5376679252e-04 -1.6072527377e-04 -2.6837116877e-01)
1.4306122449e-03	(6.5405664057e-04 -1.6079651586e-04 -3.1868398203e+03)	(-1.0157440850e-17 -1.6914670926e-16 -3.1865714499e+03)	(6.5405664057e-04 -1.6079651586e-04 -2.6837036532e-01)
1.4306279435e-03	(6.5434645174e-04 -1.6086774899e-04 -3.1868107940e+03)	(-1.0156459503e-17 -1.6914388679e-16 -3.1865424245e+03)	(6.5434645174e-04 -1.6086774899e-04 -2.6836956182e-01)
1.4306436421e-03	(6.5463622603e-04 -1.6093897316e-04 -3.1867817703e+03)	(-1.0155478236e-17 -1.6914106452e-16 -3.1865134015e+03)	(6.5463622603e-04 -1.6093897316e-04 -2.6836875827e-01)
1.4306593407e-03	(6.5492596345e-04 -1.6101018837e-04 -3.1867527490e+03)	(-1.0154497050e-17 -1.6913824244e-16 -3.1864843810e+03)	(6.5492596345e-04 -1.6101018837e-04 -2.6836795466e-01)
1.4306750392e-03	(6.5521566402e-04 -1.6108139462e-04 -3.1867237302e+03)	(-1.0153515944e-17 -1.6913542057e-16 -3.1864553631e+03)	(6.5521566402e-04 -1.6108139462e-04 -2.6836715100e-01)
1.4306907378e-03	(6.5550532774e-04 -1.6115259192e-04 -3.1866947140e+03)	(-1.0152534919e-17 -1.6913259889e-16 -3.1864263476e+03)	(6.5550532774e-04 -1.6115259192e-04 -2.6836634728e-01)
1.4307064364e-03	(6.5579495463e-04 -1.6122378026e-04 -3.1866657003e+03)	(-1.0151553976e-17 -1.6912977742e-16 -3.1863973347e+03)	(6.5579495463e-04 -1.6122378026e-04 -2.6836554351e-01)
1.4307221350e-03	(6.5608454470e-04 -1.6129495965e-04 -3.1866366891e+03)	(-1.0150573114e-17 -1.6912695615e-16 -3.1863683244e+03)	(6.5608454470e-04 -1.6129495965e-04 -2.6836473968e-01)
1.4307378336e-03	(6.5637409795e-04 -1.6136613010e-04 -3.1866076805e+03)	(-1.0149592334e-17 -1.6912413508e-16 -3.1863393165e+03)	(6.5637409795e-04 -1.6136613010e-04 -2.6836393580e-01)
1.4307535322e-03	(6.5666361440e-04 -1.6143729160e-04 -3.1865786744e+03)	(-1.0148611637e-17 -1.6912131421e-16 -3.1863103112e+03)	(6.5666361440e-04 -1.6143729160e-04 -2.6836313186e-01)
1.4307692308e-03	(6.5695309405e-04 -1.6150844416e-04 -3.1865496708e+03)	(-1.0147631021e-17 -1.6911849355e-16 -3.1862813085e+03)	(6.5695309405e-04 -1.6150844416e-04 -2.6836232787e-01)
1.4307849294e-03	(6.5724253692e-04 -1.6157958778e-04 -3.1865206698e+03)	(-1.0146650489e-17 -1.6911567309e-16 -3.1862523083e+03)	(6.5724253692e-04 -1.6157958778e-04 -2.6836152382e-01)
1.4308006279e-03	(6.5753194301e-04 -1.6165072246e-04 -3.1864916714e+03)	(-1.0145670040e-17 -1.6911285283e-16 -3.1862233107e+03)	(6.5753194301e-04 -1.6165072246e-04 -2.6836071972e-01)
1.4308163265e-03	(6.5782131234e-04 -1.6172184821e-04 -3.1864626756e+03)	(-1.0144689674e-17 -1.6911003279e-16 -3.1861943156e+03)	(6.5782131234e-04 -1.6172184821e-04 -2.6835991556e-01)
1.4308320251e-03	(6.5811064492e-04 -1.6179296503e-04 -3.1864336823e+03)	(-1.0143709392e-17 -1.6910721294e-16 -3.1861653232e+03)	(6.5811064492e-04 -1.6179296503e-04 -2.6835911134e-01)
1.4308477237e-03	(6.5839994076e-04 -1.6186407291e-04 -3.1864046916e+03)	(-1.0142729195e-17 -1.6910439331e-16 -3.1861363333e+03)	(6.5839994076e-04 -1.6186407291e-04 -2.6835830707e-01)
