# Force coefficients
# liftDir        : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# dragDir        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis      : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# magUInf        : 5.4100000000e+03
# lRef           : 6.6236897090e-01
# Aref           : 3.0629317000e-02
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	Cm               	Cd               	Cl               	Cl(f)            	Cl(r)            
0.00140000012    	-6.0038192589e-01	9.0060705695e-01	-3.2994654742e-01	-7.6535519960e-01	4.3540865218e-01
0.001400000264   	-6.0038190506e-01	9.0060705023e-01	-3.2994652538e-01	-7.6535516775e-01	4.3540864237e-01
0.001400000437   	-6.0038188015e-01	9.0060704224e-01	-3.2994649884e-01	-7.6535512957e-01	4.3540863072e-01
0.001400000644   	-6.0038185023e-01	9.0060703260e-01	-3.2994646700e-01	-7.6535508373e-01	4.3540861674e-01
0.001400000893   	-6.0038181432e-01	9.0060702095e-01	-3.2994642877e-01	-7.6535502870e-01	4.3540859993e-01
0.001400001192   	-6.0038177119e-01	9.0060700685e-01	-3.2994638290e-01	-7.6535496264e-01	4.3540857974e-01
0.00140000155    	-6.0038171940e-01	9.0060698977e-01	-3.2994632784e-01	-7.6535488332e-01	4.3540855548e-01
0.00140000198    	-6.0038165718e-01	9.0060696902e-01	-3.2994626175e-01	-7.6535478806e-01	4.3540852630e-01
0.001400002496   	-6.0038158244e-01	9.0060694378e-01	-3.2994618243e-01	-7.6535467366e-01	4.3540849122e-01
0.001400003115   	-6.0038149263e-01	9.0060691300e-01	-3.2994608722e-01	-7.6535453624e-01	4.3540844902e-01
0.001400003858   	-6.0038138468e-01	9.0060687535e-01	-3.2994597293e-01	-7.6535437115e-01	4.3540839822e-01
0.00140000475    	-6.0038125490e-01	9.0060682918e-01	-3.2994583573e-01	-7.6535417277e-01	4.3540833704e-01
0.001400005819   	-6.0038109881e-01	9.0060677233e-01	-3.2994567100e-01	-7.6535393431e-01	4.3540826331e-01
0.001400007103   	-6.0038091100e-01	9.0060670208e-01	-3.2994547322e-01	-7.6535364761e-01	4.3540817439e-01
0.001400008644   	-6.0038068493e-01	9.0060661490e-01	-3.2994523575e-01	-7.6535330281e-01	4.3540806705e-01
