# Force          
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4000001200e-03	(7.3469980288e+03 -2.6916473892e+03 6.0012655438e-09)	(7.3463767028e+03 -2.6924264558e+03 1.3777638722e-16)	(6.2132606285e-01 7.7906659139e-01 6.0012654060e-09)
1.4000002640e-03	(7.3469979740e+03 -2.6916472094e+03 1.3202784644e-08)	(7.3463766489e+03 -2.6924262754e+03 1.3777636542e-16)	(6.2132510259e-01 7.7906596666e-01 1.3202784506e-08)
1.4000004368e-03	(7.3469979089e+03 -2.6916469929e+03 2.1844629289e-08)	(7.3463765840e+03 -2.6924260588e+03 1.3777633927e-16)	(6.2132486492e-01 7.7906590551e-01 2.1844629151e-08)
1.4000006442e-03	(7.3469978302e+03 -2.6916467331e+03 3.2214686726e-08)	(7.3463765056e+03 -2.6924257989e+03 1.3777630792e-16)	(6.2132458075e-01 7.7906583257e-01 3.2214686589e-08)
1.4000008930e-03	(7.3469977352e+03 -2.6916464213e+03 4.4658685781e-08)	(7.3463764109e+03 -2.6924254870e+03 1.3777627033e-16)	(6.2132424377e-01 7.7906574685e-01 4.4658685643e-08)
1.4000011916e-03	(7.3469976202e+03 -2.6916460470e+03 5.9591235309e-08)	(7.3463762963e+03 -2.6924251127e+03 1.3777622528e-16)	(6.2132383940e-01 7.7906564399e-01 5.9591235171e-08)
1.4000015499e-03	(7.3469974808e+03 -2.6916455979e+03 7.7510149768e-08)	(7.3463761574e+03 -2.6924246634e+03 1.3777617129e-16)	(6.2132335419e-01 7.7906552055e-01 7.7510149630e-08)
1.4000019799e-03	(7.3469973115e+03 -2.6916450588e+03 9.9012946636e-08)	(7.3463759887e+03 -2.6924241241e+03 1.3777610660e-16)	(6.2132277192e-01 7.7906537242e-01 9.9012946498e-08)
1.4000024959e-03	(7.3469971056e+03 -2.6916444117e+03 1.2481555851e-07)	(7.3463757835e+03 -2.6924234769e+03 1.3777602913e-16)	(6.2132207323e-01 7.7906519466e-01 1.2481555837e-07)
1.4000031150e-03	(7.3469968545e+03 -2.6916436350e+03 1.5577762099e-07)	(7.3463755333e+03 -2.6924227000e+03 1.3777593638e-16)	(6.2132123482e-01 7.7906498133e-01 1.5577762085e-07)
1.4000038580e-03	(7.3469965474e+03 -2.6916427026e+03 1.9293147331e-07)	(7.3463752272e+03 -2.6924217673e+03 1.3777582540e-16)	(6.2132022875e-01 7.7906472533e-01 1.9293147317e-07)
1.4000047496e-03	(7.3469961707e+03 -2.6916415833e+03 2.3751387435e-07)	(7.3463748517e+03 -2.6924206478e+03 1.3777569266e-16)	(6.2131902151e-01 7.7906441810e-01 2.3751387421e-07)
1.4000058195e-03	(7.3469957070e+03 -2.6916402395e+03 2.9101432898e-07)	(7.3463743894e+03 -2.6924193036e+03 1.3777553400e-16)	(6.2131757279e-01 7.7906404937e-01 2.9101432885e-07)
1.4000071034e-03	(7.3469951339e+03 -2.6916386261e+03 3.5521439259e-07)	(7.3463738180e+03 -2.6924176897e+03 1.3777534453e-16)	(6.2131583434e-01 7.7906360683e-01 3.5521439245e-07)
1.4000086441e-03	(7.3469944227e+03 -2.6916366888e+03 4.3224981773e-07)	(7.3463731089e+03 -2.6924157519e+03 1.3777511847e-16)	(6.2131374833e-01 7.7906307571e-01 4.3224981760e-07)
1.4000104930e-03	(7.3469935360e+03 -2.6916343625e+03 5.2469133523e-07)	(7.3463722247e+03 -2.6924134249e+03 1.3777484907e-16)	(6.2131124515e-01 7.7906243823e-01 5.2469133510e-07)
1.4000127119e-03	(7.3469924251e+03 -2.6916315685e+03 6.3562794628e-07)	(7.3463711169e+03 -2.6924106302e+03 1.3777452843e-16)	(6.2130824120e-01 7.7906167297e-01 6.3562794614e-07)
1.4000153745e-03	(7.3469910266e+03 -2.6916282132e+03 7.6873801065e-07)	(7.3463697220e+03 -2.6924072739e+03 1.3777414748e-16)	(6.2130463691e-01 7.7906075443e-01 7.6873801051e-07)
1.4000185696e-03	(7.3469892569e+03 -2.6916241834e+03 9.2845865192e-07)	(7.3463679566e+03 -2.6924032430e+03 1.3777369578e-16)	(6.2130031223e-01 7.7905965176e-01 9.2845865178e-07)
1.4000224041e-03	(7.3469870060e+03 -2.6916193428e+03 1.1201315250e-06)	(7.3463657108e+03 -2.6923984011e+03 1.3777316134e-16)	(6.2129512269e-01 7.7905832775e-01 1.1201315249e-06)
1.4000270064e-03	(7.3469841289e+03 -2.6916135282e+03 1.3501507064e-06)	(7.3463628400e+03 -2.6923925849e+03 1.3777253078e-16)	(6.2128889545e-01 7.7905673774e-01 1.3501507063e-06)
1.4000325285e-03	(7.3469804356e+03 -2.6916065457e+03 1.6261143090e-06)	(7.3463591541e+03 -2.6923856005e+03 1.3777178944e-16)	(6.2128142534e-01 7.7905482845e-01 1.6261143089e-06)
1.4000391558e-03	(7.3469756736e+03 -2.6915981599e+03 1.9572586018e-06)	(7.3463544011e+03 -2.6923772124e+03 1.3777092105e-16)	(6.2127246322e-01 7.7905253480e-01 1.9572586016e-06)
1.4000471118e-03	(7.3469695085e+03 -2.6915880870e+03 2.3547205025e-06)	(7.3463482468e+03 -2.6923671368e+03 1.3776990815e-16)	(6.2126170924e-01 7.7904977789e-01 2.3547205023e-06)
1.4000566452e-03	(7.3469615139e+03 -2.6915760115e+03 2.8308893312e-06)	(7.3463402650e+03 -2.6923550579e+03 1.3776873496e-16)	(6.2124883078e-01 7.7904646905e-01 2.8308893311e-06)
1.4000677551e-03	(7.3469513989e+03 -2.6915619330e+03 3.3856598253e-06)	(7.3463301651e+03 -2.6923409756e+03 1.3776742108e-16)	(6.2123383469e-01 7.7904260489e-01 3.3856598251e-06)
1.4000804399e-03	(7.3469388466e+03 -2.6915458490e+03 4.0188920528e-06)	(7.3463176299e+03 -2.6923248872e+03 1.3776598662e-16)	(6.2121673196e-01 7.7903817884e-01 4.0188920526e-06)
