# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.4000001200e-03	(3.0645005373e-09 -7.5691836213e-10 -3.2441592643e+03)	(-1.1951392791e-17 -1.7454107571e-16 -3.2438883437e+03)	(3.0645005493e-09 -7.5691818759e-10 -2.7092061023e-01)
1.4000002640e-03	(6.7419003006e-09 -1.6652194248e-09 -3.2441591517e+03)	(-1.1951398513e-17 -1.7454106338e-16 -3.2438882316e+03)	(6.7419003126e-09 -1.6652192502e-09 -2.7092012852e-01)
1.4000004368e-03	(1.1154790550e-08 -2.7551829775e-09 -3.2441590171e+03)	(-1.1951405370e-17 -1.7454104859e-16 -3.2438880971e+03)	(1.1154790562e-08 -2.7551828030e-09 -2.7092002242e-01)
1.4000006442e-03	(1.6450177847e-08 -4.0631185886e-09 -3.2441588555e+03)	(-1.1951413584e-17 -1.7454103085e-16 -3.2438879356e+03)	(1.6450177859e-08 -4.0631184140e-09 -2.7091989568e-01)
1.4000008930e-03	(2.2804605108e-08 -5.6326311372e-09 -3.2441586614e+03)	(-1.1951423422e-17 -1.7454100959e-16 -3.2438877416e+03)	(2.2804605120e-08 -5.6326309626e-09 -2.7091974588e-01)
1.4000011916e-03	(3.0429787873e-08 -7.5160127649e-09 -3.2441584284e+03)	(-1.1951435198e-17 -1.7454098408e-16 -3.2438875088e+03)	(3.0429787885e-08 -7.5160125904e-09 -2.7091956613e-01)
1.4000015499e-03	(3.9579929382e-08 -9.7760495793e-09 -3.2441581485e+03)	(-1.1951449288e-17 -1.7454095350e-16 -3.2438872291e+03)	(3.9579929394e-08 -9.7760494047e-09 -2.7091935044e-01)
1.4000019799e-03	(5.0560144571e-08 -1.2488102200e-08 -3.2441578123e+03)	(-1.1951466137e-17 -1.7454091685e-16 -3.2438868932e+03)	(5.0560144583e-08 -1.2488102025e-08 -2.7091909160e-01)
1.4000024959e-03	(6.3736014862e-08 -1.5742465546e-08 -3.2441574084e+03)	(-1.1951486270e-17 -1.7454087293e-16 -3.2438864897e+03)	(6.3736014874e-08 -1.5742465372e-08 -2.7091878102e-01)
1.4000031150e-03	(7.9546500665e-08 -1.9647557875e-08 -3.2441569232e+03)	(-1.1951510307e-17 -1.7454082030e-16 -3.2438860047e+03)	(7.9546500677e-08 -1.9647557701e-08 -2.7091840833e-01)
1.4000038580e-03	(9.8518749468e-08 -2.4333577888e-08 -3.2441563399e+03)	(-1.1951538975e-17 -1.7454075726e-16 -3.2438854219e+03)	(9.8518749480e-08 -2.4333577714e-08 -2.7091796111e-01)
1.4000047496e-03	(1.2128429022e-07 -2.9956504063e-08 -3.2441556386e+03)	(-1.1951573123e-17 -1.7454068179e-16 -3.2438847212e+03)	(1.2128429023e-07 -2.9956503889e-08 -2.7091742447e-01)
1.4000058195e-03	(1.4860370903e-07 -3.6704188558e-08 -3.2441547952e+03)	(-1.1951613742e-17 -1.7454059146e-16 -3.2438838784e+03)	(1.4860370905e-07 -3.6704188383e-08 -2.7091678050e-01)
1.4000071034e-03	(1.8138671732e-07 -4.4801312685e-08 -3.2441537803e+03)	(-1.1951661967e-17 -1.7454048339e-16 -3.2438828643e+03)	(1.8138671733e-07 -4.4801312511e-08 -2.7091600774e-01)
1.4000086441e-03	(2.2072388294e-07 -5.4517222548e-08 -3.2441525588e+03)	(-1.1951719093e-17 -1.7454035420e-16 -3.2438816437e+03)	(2.2072388295e-07 -5.4517222374e-08 -2.7091508050e-01)
1.4000104930e-03	(2.6792787529e-07 -6.6176113745e-08 -3.2441510876e+03)	(-1.1951786587e-17 -1.7454019986e-16 -3.2438801736e+03)	(2.6792787530e-07 -6.6176113570e-08 -2.7091396786e-01)
1.4000127119e-03	(3.2457599044e-07 -8.0167531093e-08 -3.2441493145e+03)	(-1.1951866075e-17 -1.7454001559e-16 -3.2438784019e+03)	(3.2457599045e-07 -8.0167530918e-08 -2.7091263265e-01)
1.4000153745e-03	(3.9254644157e-07 -9.6955326889e-08 -3.2441471767e+03)	(-1.1951959301e-17 -1.7453979584e-16 -3.2438762657e+03)	(3.9254644158e-07 -9.6955326714e-08 -2.7091103065e-01)
1.4000185696e-03	(4.7410484912e-07 -1.1709901566e-07 -3.2441445972e+03)	(-1.1952068107e-17 -1.7453953403e-16 -3.2438736881e+03)	(4.7410484913e-07 -1.1709901549e-07 -2.7090910851e-01)
1.4000224041e-03	(5.7197865435e-07 -1.4127214273e-07 -3.2441414818e+03)	(-1.1952194345e-17 -1.7453922247e-16 -3.2438705750e+03)	(5.7197865436e-07 -1.4127214256e-07 -2.7090680209e-01)
1.4000270064e-03	(6.8943260801e-07 -1.7028091360e-07 -3.2441377160e+03)	(-1.1952339706e-17 -1.7453885214e-16 -3.2438668120e+03)	(6.8943260803e-07 -1.7028091343e-07 -2.7090403465e-01)
1.4000325285e-03	(8.3034614905e-07 -2.0508328382e-07 -3.2441331613e+03)	(-1.1952505459e-17 -1.7453841270e-16 -3.2438622606e+03)	(8.3034614907e-07 -2.0508328365e-07 -2.7090071510e-01)
1.4000391558e-03	(9.9943502001e-07 -2.4684366270e-07 -3.2441276456e+03)	(-1.1952692227e-17 -1.7453789182e-16 -3.2438567489e+03)	(9.9943502002e-07 -2.4684366253e-07 -2.7089673294e-01)
1.4000471118e-03	(1.2023852187e-06 -2.9696595135e-07 -3.2441209572e+03)	(-1.1952899449e-17 -1.7453727500e-16 -3.2438500652e+03)	(1.2023852188e-06 -2.9696595118e-07 -2.7089195520e-01)
1.4000566452e-03	(1.4455218832e-06 -3.5701170740e-07 -3.2441128508e+03)	(-1.1953124188e-17 -1.7453654648e-16 -3.2438419646e+03)	(1.4455218833e-06 -3.5701170722e-07 -2.7088623456e-01)
1.4000677551e-03	(1.7287899021e-06 -4.2696659086e-07 -3.2441032800e+03)	(-1.1953354554e-17 -1.7453570970e-16 -3.2438324005e+03)	(1.7287899021e-06 -4.2696659069e-07 -2.7087957470e-01)
1.4000804399e-03	(2.0521162626e-06 -5.0681172417e-07 -3.2440921890e+03)	(-1.1953577672e-17 -1.7453476649e-16 -3.2438213171e+03)	(2.0521162626e-06 -5.0681172399e-07 -2.7087198217e-01)
1.4000946922e-03	(2.4152685849e-06 -5.9648876408e-07 -3.2440795129e+03)	(-1.1953780018e-17 -1.7453371663e-16 -3.2438086495e+03)	(2.4152685849e-06 -5.9648876391e-07 -2.7086346953e-01)
1.4001104149e-03	(2.8157350680e-06 -6.9537640739e-07 -3.2440652478e+03)	(-1.1953947021e-17 -1.7453256311e-16 -3.2437943937e+03)	(2.8157350680e-06 -6.9537640721e-07 -2.7085410370e-01)
1.4001261376e-03	(3.2160334911e-06 -7.9421843520e-07 -3.2440506478e+03)	(-1.1954056177e-17 -1.7453140615e-16 -3.2437798030e+03)	(3.2160334911e-06 -7.9421843502e-07 -2.7084476844e-01)
1.4001418603e-03	(3.6161655309e-06 -8.9301530907e-07 -3.2440356825e+03)	(-1.1954111659e-17 -1.7453023739e-16 -3.2437648470e+03)	(3.6161655309e-06 -8.9301530889e-07 -2.7083547576e-01)
1.4001575830e-03	(4.0161328251e-06 -9.9176748139e-07 -3.2440203215e+03)	(-1.1954117213e-17 -1.7452904967e-16 -3.2437494953e+03)	(4.0161328252e-06 -9.9176748121e-07 -2.7082622992e-01)
1.4001733057e-03	(4.4159369245e-06 -1.0904753792e-06 -3.2440045370e+03)	(-1.1954076236e-17 -1.7452783690e-16 -3.2437337200e+03)	(4.4159369245e-06 -1.0904753790e-06 -2.7081702866e-01)
