# Wall shear stress
# Time           	patch            	min              	max              
1.4100000000e-03	object	(-6.9238844863e+01 -5.8547457281e+01 -2.6548918051e-02)	(-3.5884639251e-01 -1.7338772330e-01 7.4778131492e-05)
1.4200000000e-03	object	(-6.9152524471e+01 -5.8517474361e+01 -5.0894032770e-02)	(-3.5258699384e-01 -1.6155702576e-01 2.1979924012e-04)
1.4300000000e-03	object	(-6.9111847464e+01 -5.8437898646e+01 -7.3440610956e-02)	(-3.4612946446e-01 -1.5247616393e-01 4.1064544015e-04)
1.4400000000e-03	object	(-6.9080923354e+01 -5.8305205586e+01 -9.4398139791e-02)	(-3.3971008558e-01 -1.4545195512e-01 6.3398718300e-04)
1.4500000000e-03	object	(-6.9041099726e+01 -5.8119935422e+01 -1.1392371442e-01)	(-3.3092165580e-01 -1.3998152037e-01 8.7962264220e-04)
1.4600000000e-03	object	(-6.8983351686e+01 -5.7887779869e+01 -1.3214885414e-01)	(-3.1181301680e-01 -1.3576822001e-01 1.1358869034e-03)
1.4700000000e-03	object	(-6.8903589319e+01 -5.7619702358e+01 -1.4918013793e-01)	(-2.9116922566e-01 -1.3241521301e-01 1.3864357404e-03)
1.4800000000e-03	object	(-6.8807145206e+01 -5.7335577175e+01 -1.6510898929e-01)	(-2.7456405537e-01 -1.2953538769e-01 1.6214497604e-03)
1.4900000000e-03	object	(-6.8710371687e+01 -5.7051145654e+01 -1.8003200397e-01)	(-2.6136971205e-01 -1.2790896861e-01 1.8350109921e-03)
1.5000000000e-03	object	(-6.8604123268e+01 -5.6775253489e+01 -1.9404459475e-01)	(-2.4254714836e-01 -1.2885747605e-01 2.0226479212e-03)
1.5100000000e-03	object	(-6.8485163009e+01 -5.6512913525e+01 -2.0723310355e-01)	(-2.1861604632e-01 -1.2447896018e-01 2.1851949730e-03)
1.5200000000e-03	object	(-6.8359775724e+01 -5.6261296744e+01 -2.1967624308e-01)	(-2.5301587678e-01 -1.1545650336e-01 2.3327226963e-03)
1.5300000000e-03	object	(-6.8242757972e+01 -5.6014974538e+01 -2.3145410463e-01)	(-2.0114808951e-01 -1.1997630090e-01 2.4521299075e-03)
1.5400000000e-03	object	(-6.8127594615e+01 -5.5774096479e+01 -2.4265585382e-01)	(-2.0690501981e-01 -1.2333905408e-01 2.5535323438e-03)
1.5500000000e-03	object	(-6.7996444503e+01 -5.5554621194e+01 -2.5378392821e-01)	(-2.0711944983e-01 -1.1131046605e-01 2.6391199029e-03)
1.5600000000e-03	object	(-6.7859520505e+01 -5.5361795732e+01 -2.6432578300e-01)	(-2.0567076277e-01 -1.1477589659e-01 2.7102530383e-03)
1.5700000000e-03	object	(-6.7768404280e+01 -5.5174114817e+01 -2.7396403734e-01)	(-1.9552755293e-01 -1.1329288821e-01 2.7696369389e-03)
1.5800000000e-03	object	(-6.7713729568e+01 -5.4976734053e+01 -2.8273190778e-01)	(-1.9226160907e-01 -1.0814405021e-01 2.8199674179e-03)
1.5900000000e-03	object	(-6.7655734871e+01 -5.4774563215e+01 -2.9066876543e-01)	(-1.9137245014e-01 -1.0806242924e-01 2.8633919747e-03)
1.6000000000e-03	object	(-6.7579515925e+01 -5.4574594676e+01 -2.9782123150e-01)	(-1.9173097198e-01 -1.0681625656e-01 2.9024650911e-03)
1.6100000000e-03	object	(-6.7492920800e+01 -5.4376642402e+01 -3.0424149268e-01)	(-1.9155323069e-01 -1.0407073292e-01 2.9388907622e-03)
1.6200000000e-03	object	(-6.7403478972e+01 -5.4177231485e+01 -3.0998335345e-01)	(-1.9156548020e-01 -1.0312677887e-01 2.9738684494e-03)
1.6300000000e-03	object	(-6.7308927077e+01 -5.3973776736e+01 -3.1509911872e-01)	(-1.9193785675e-01 -1.0199576563e-01 3.0083149742e-03)
1.6400000000e-03	object	(-6.7211426253e+01 -5.3765549977e+01 -3.1963775041e-01)	(-1.9268489195e-01 -1.0073345126e-01 3.0422157342e-03)
1.6500000000e-03	object	(-6.7111120792e+01 -5.3553367121e+01 -3.2364412191e-01)	(-1.9348534573e-01 -9.9868010629e-02 3.0751654686e-03)
1.6600000000e-03	object	(-6.7009359303e+01 -5.3340619236e+01 -3.2715925519e-01)	(-1.9279754021e-01 -9.9033911199e-02 3.1070651378e-03)
1.6700000000e-03	object	(-6.6908139224e+01 -5.3138952369e+01 -3.3022507690e-01)	(-1.8828436448e-01 -9.8364708907e-02 3.1389934328e-03)
1.6800000000e-03	object	(-6.6805352322e+01 -5.2954234985e+01 -3.3289672246e-01)	(-1.9091231562e-01 -9.7787014982e-02 3.1712019994e-03)
1.6900000000e-03	object	(-6.6687885697e+01 -5.2767017018e+01 -3.3523062455e-01)	(-1.9830768514e-01 -9.7195124682e-02 3.1999223624e-03)
1.7000000000e-03	object	(-6.6578299648e+01 -5.2574818941e+01 -3.3725512860e-01)	(-1.8081693306e-01 -9.6845428679e-02 3.2301171679e-03)
1.7100000000e-03	object	(-6.6482810794e+01 -5.2392946191e+01 -3.3898414257e-01)	(-2.0291519632e-01 -9.6314879976e-02 3.2583669003e-03)
1.7200000000e-03	object	(-6.6394668577e+01 -5.2231592511e+01 -3.4044283357e-01)	(-1.7752063175e-01 -9.6095442528e-02 3.2849058438e-03)
1.7300000000e-03	object	(-6.6313506651e+01 -5.2082038652e+01 -3.4168651900e-01)	(-2.0772895562e-01 -9.5611871186e-02 3.3113285971e-03)
1.7400000000e-03	object	(-6.6238950839e+01 -5.1929900471e+01 -3.4277635625e-01)	(-1.7079248632e-01 -9.5580162415e-02 3.3391348711e-03)
1.7500000000e-03	object	(-6.6145723692e+01 -5.1795590656e+01 -3.4370879864e-01)	(-2.0316915575e-01 -9.4980355231e-02 3.3539876855e-03)
1.7600000000e-03	object	(-6.6075857218e+01 -5.1681954144e+01 -3.4448886896e-01)	(-1.9359787314e-01 -9.5065010619e-02 3.3866970527e-03)
1.7700000000e-03	object	(-6.6035324635e+01 -5.1585139948e+01 -3.4514387096e-01)	(-1.6965539734e-01 -9.4842533035e-02 3.4028846394e-03)
1.7800000000e-03	object	(-6.5998122134e+01 -5.1491247001e+01 -3.4571188602e-01)	(-1.9967974031e-01 -9.4278772229e-02 3.4116221709e-03)
1.7900000000e-03	object	(-6.5964110957e+01 -5.1387668808e+01 -3.4622763139e-01)	(-2.0058904059e-01 -9.4372449637e-02 3.4365457716e-03)
1.8000000000e-03	object	(-6.5924824321e+01 -5.1298815104e+01 -3.4668713392e-01)	(-1.7746925816e-01 -9.4566957817e-02 3.4608245261e-03)
1.8100000000e-03	object	(-6.5887946932e+01 -5.1220799294e+01 -3.4709864678e-01)	(-1.7524432385e-01 -9.4020206424e-02 3.4646769677e-03)
1.8200000000e-03	object	(-6.5869214632e+01 -5.1153463302e+01 -3.4747750035e-01)	(-1.9457901205e-01 -9.3608870007e-02 3.4683902589e-03)
1.8300000000e-03	object	(-6.5852788771e+01 -5.1097050157e+01 -3.4783645250e-01)	(-1.9429912947e-01 -9.3721223440e-02 3.4825744615e-03)
1.8400000000e-03	object	(-6.5838808349e+01 -5.1050242047e+01 -3.4818655933e-01)	(-1.9214978900e-01 -9.3859559455e-02 3.4996807940e-03)
1.8500000000e-03	object	(-6.5827677958e+01 -5.1011225712e+01 -3.4853713708e-01)	(-1.8685297324e-01 -9.4001113476e-02 3.5156356130e-03)
1.8600000000e-03	object	(-6.5818973755e+01 -5.0977770273e+01 -3.4889615439e-01)	(-1.7210825725e-01 -9.3857252234e-02 3.5220637662e-03)
1.8700000000e-03	object	(-6.5813150428e+01 -5.0941665724e+01 -3.4927221671e-01)	(-1.8447711573e-01 -9.3146178615e-02 3.5183558499e-03)
1.8800000000e-03	object	(-6.5810732564e+01 -5.0906041530e+01 -3.4966419575e-01)	(-1.8983036758e-01 -9.2985330407e-02 3.5199670414e-03)
1.8900000000e-03	object	(-6.5810531517e+01 -5.0872566407e+01 -3.5006694754e-01)	(-1.8907002791e-01 -9.3052423870e-02 3.5264217555e-03)
1.9000000000e-03	object	(-6.5815889414e+01 -5.0838931201e+01 -3.5048056734e-01)	(-1.8843937472e-01 -9.3157865650e-02 3.5342204936e-03)
1.9100000000e-03	object	(-6.5827248732e+01 -5.0805413173e+01 -3.5090715425e-01)	(-1.8795200513e-01 -9.3247501342e-02 3.5418699323e-03)
1.9200000000e-03	object	(-6.5841418633e+01 -5.0778054784e+01 -3.5134606373e-01)	(-1.8812097471e-01 -9.3279380925e-02 3.5490858414e-03)
1.9300000000e-03	object	(-6.5855000657e+01 -5.0758927121e+01 -3.5179879434e-01)	(-1.8786368772e-01 -9.3259621699e-02 3.5560770839e-03)
1.9400000000e-03	object	(-6.5867266060e+01 -5.0746126798e+01 -3.5226775606e-01)	(-1.8604356935e-01 -9.3232428358e-02 3.5621883975e-03)
1.9500000000e-03	object	(-6.5878525069e+01 -5.0738551587e+01 -3.5275030354e-01)	(-1.7801594077e-01 -9.3097847024e-02 3.5643827594e-03)
1.9600000000e-03	object	(-6.5892998970e+01 -5.0735819163e+01 -3.5324161935e-01)	(-1.8379555836e-01 -9.2456136844e-02 3.5613764941e-03)
1.9700000000e-03	object	(-6.5912381312e+01 -5.0736021765e+01 -3.5374054098e-01)	(-1.8782068191e-01 -9.2251825651e-02 3.5612444870e-03)
