# Wall shear stress
# Time           	patch            	min              	max              
1.0000000000e-05	object	(1.2872389588e-02 -2.2446656921e-02 -2.0327067249e-15)	(2.5456645334e-02 -1.2551374613e-04 3.7522902562e-15)
2.0000000000e-05	object	(1.5557414946e-02 -2.7131513989e-02 -2.2060425509e-15)	(3.0711764662e-02 -1.4676045894e-04 4.4109890706e-15)
3.0000000000e-05	object	(1.4851753699e-02 -2.5870248243e-02 -2.2511455112e-15)	(2.9294127499e-02 -1.3599517050e-04 5.1614534227e-15)
4.0000000000e-05	object	(1.4693502478e-02 -2.5563377839e-02 -2.2045022662e-15)	(2.8957641782e-02 -1.3323405456e-04 6.3321946256e-15)
5.0000000000e-05	object	(1.4632097857e-02 -2.5425662329e-02 -2.3314200316e-15)	(2.8807715101e-02 -1.3186157169e-04 6.8387312725e-15)
6.0000000000e-05	object	(1.4563096300e-02 -2.5273089267e-02 -2.4532569100e-15)	(2.8641217811e-02 -1.3060799801e-04 6.2881580763e-15)
7.0000000000e-05	object	(1.4497464056e-02 -2.5133298851e-02 -2.4225556018e-15)	(2.8488976816e-02 -1.2957339031e-04 7.2819114923e-15)
8.0000000000e-05	object	(1.4433211605e-02 -2.5006332070e-02 -2.4443832784e-15)	(2.8350987831e-02 -1.2870238070e-04 7.9075424522e-15)
9.0000000000e-05	object	(1.4367840249e-02 -2.4888635667e-02 -2.3475516384e-15)	(2.8223358634e-02 -1.2794401085e-04 6.5403246878e-15)
1.0000000000e-04	object	(1.4306819859e-02 -2.4778518250e-02 -2.4313992189e-15)	(2.8104247266e-02 -1.2727090538e-04 6.0714003796e-15)
1.1000000000e-04	object	(1.4249717850e-02 -2.4674798975e-02 -2.4189400880e-15)	(2.7992359565e-02 -1.2666486711e-04 7.2602515784e-15)
1.2000000000e-04	object	(1.4195995179e-02 -2.4576545891e-02 -2.4008870458e-15)	(2.7886624274e-02 -1.2611309648e-04 6.3138396354e-15)
1.3000000000e-04	object	(-9.7610181511e+01 -4.8585078804e+01 -2.8020650014e-14)	(1.8981172729e-02 9.8764314455e+00 2.5323658639e-14)
1.4000000000e-04	object	(-1.0330018865e+02 -5.1569070352e+01 -1.5967734751e-14)	(1.4686222479e-02 -2.4153137570e-02 7.9437480581e-14)
1.5000000000e-04	object	(-1.1749566855e+02 -6.4370937145e+01 -1.1802696240e-14)	(1.4217413440e-02 -2.4142477617e-02 4.9178786223e-14)
1.6000000000e-04	object	(-1.2985983536e+02 -7.3644627713e+01 -1.2004405644e-14)	(1.4129443055e-02 -2.4096470633e-02 3.4320615120e-14)
1.7000000000e-04	object	(-1.3832656196e+02 -8.0237756864e+01 -5.3646702243e-14)	(1.4063670154e-02 -2.4041463584e-02 3.0675980736e-14)
1.8000000000e-04	object	(-1.4473646564e+02 -8.4696027185e+01 -7.1479100008e-14)	(1.3804282881e+00 -2.3985238647e-02 3.7221109200e-14)
1.9000000000e-04	object	(-1.4866577522e+02 -8.7468021160e+01 -3.1774569962e-14)	(1.3961539257e-02 -2.3925559515e-02 4.5560851582e-14)
2.0000000000e-04	object	(-1.5138700867e+02 -8.9105870181e+01 -2.7691467910e-14)	(1.3916199115e-02 -2.3865648730e-02 3.8119872589e-14)
2.1000000000e-04	object	(-1.5324975957e+02 -8.9121839485e+01 -2.8228794037e-14)	(1.3873012708e-02 -2.3805095491e-02 3.1993750908e-14)
2.2000000000e-04	object	(-1.3879838816e+02 -7.6244715722e+01 -2.5513882075e-14)	(-3.1188748522e+00 1.2852403847e+01 3.2183373725e-14)
2.3000000000e-04	object	(-1.1567651555e+02 -6.5617164507e+01 -6.7718687310e-14)	(-1.1942513173e-01 -4.3150752729e-02 3.6583040475e-14)
2.4000000000e-04	object	(-1.0293896795e+02 -6.0303432191e+01 -2.0932592138e-14)	(-2.6873092194e-02 -3.2413661839e-01 3.6908748281e-14)
2.5000000000e-04	object	(-9.7650106382e+01 -5.7038931886e+01 -1.9427221813e-14)	(-1.7574890718e-01 -3.6384035269e-01 3.9635996364e-14)
2.6000000000e-04	object	(-9.1960265180e+01 -5.5265830572e+01 -1.9980581632e-14)	(-5.4597378721e-01 -4.3240395745e-01 3.8737516124e-14)
2.7000000000e-04	object	(-8.6352631410e+01 -5.8968893446e+01 -1.8135524736e-14)	(-1.1271664123e+00 -7.4806703682e-01 3.9033205616e-14)
2.8000000000e-04	object	(-9.2247915333e+01 -6.1966989440e+01 -1.6507874610e-14)	(-1.9713151635e+00 -7.8397316714e-01 3.7963365203e-14)
2.9000000000e-04	object	(-9.7272597405e+01 -6.4351679704e+01 -1.2895914115e-14)	(-4.1884449799e+00 -7.8607771227e-01 3.9313023436e-14)
3.0000000000e-04	object	(-1.0119374379e+02 -6.6002809913e+01 -1.1262036974e-14)	(-4.8777991186e+00 -8.2453563452e-01 4.0077896082e-14)
