# Wall shear stress
# Time           	patch            	min              	max              
1.0000000000e-05	object	(3.0261686980e-03 -2.2425225614e-02 -2.0068968218e-14)	(1.2935246916e-02 -9.9236174464e-05 2.0813055226e-14)
2.0000000000e-05	object	(1.5495581307e-03 -2.7080925166e-02 -2.3404733231e-14)	(1.5621418612e-02 -9.1876349429e-05 2.2740506791e-14)
3.0000000000e-05	object	(2.2709114562e-03 -2.5863869263e-02 -2.4444608791e-14)	(1.5300113650e-02 -7.7379750947e-05 2.2971534266e-14)
4.0000000000e-05	object	(2.9149759705e-03 -2.5552448844e-02 -2.5388388217e-14)	(1.6254460640e-02 -7.5850505981e-05 2.2688721055e-14)
5.0000000000e-05	object	(3.3772602922e-03 -2.5412716578e-02 -2.5873502835e-14)	(1.7106638539e-02 -7.7680506009e-05 2.3583717984e-14)
6.0000000000e-05	object	(3.7709136123e-03 -2.5260627355e-02 -2.6078616338e-14)	(1.7788690427e-02 -8.0702403784e-05 2.4271690764e-14)
7.0000000000e-05	object	(4.1139460266e-03 -2.5120929340e-02 -2.6106690132e-14)	(1.8334785355e-02 -8.4223740872e-05 2.4798437935e-14)
8.0000000000e-05	object	(4.4148826105e-03 -2.4993909832e-02 -2.6113162286e-14)	(1.8772763466e-02 -8.7820245745e-05 2.3014626697e-14)
9.0000000000e-05	object	(4.6812556791e-03 -2.4876126224e-02 -2.6140398348e-14)	(1.9126658791e-02 -9.1280786955e-05 2.3861492599e-14)
1.0000000000e-04	object	(4.9187977532e-03 -2.4765869102e-02 -2.6230453834e-14)	(1.9416254060e-02 -9.4511947828e-05 2.3697556064e-14)
1.1000000000e-04	object	(5.1320192712e-03 -2.4661956414e-02 -2.6119112775e-14)	(1.9656748497e-02 -9.7479176511e-05 2.3710847788e-14)
1.2000000000e-04	object	(-2.2173568107e+01 -1.4131002861e+01 -2.6761604283e-13)	(1.9859497125e-02 -9.3135915177e-03 8.2555983318e-13)
1.3000000000e-04	object	(-1.1268203952e+02 -4.0503623885e+01 -2.0744026626e-12)	(1.5983391414e-02 8.7373438148e+00 2.6811231524e-12)
1.4000000000e-04	object	(-1.0508433263e+02 -5.2221592543e+01 -1.0291225595e-12)	(1.5058104395e-02 6.0698248501e+00 3.3434886715e-12)
1.5000000000e-04	object	(-1.1761244899e+02 -6.3934069398e+01 -1.0256269339e-12)	(1.4789254047e-02 4.5947267969e+00 1.9981309101e-12)
1.6000000000e-04	object	(-1.2916432727e+02 -7.2870681893e+01 -9.7489344076e-13)	(1.4681595799e-02 4.5007673464e+00 3.3686850733e-12)
1.7000000000e-04	object	(-1.3764823089e+02 -7.9594938727e+01 -2.0698517395e-12)	(1.4626065380e-02 6.3032617495e+00 6.5795497241e-12)
1.8000000000e-04	object	(-2.4039070475e+02 -8.3795736174e+01 -4.2916849386e-12)	(1.4456307062e-02 3.0286446403e+01 1.2911654512e-11)
