# Moment         
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
1.2000480019e-10	(1.8493526896e-19 -7.6988619120e-19 -1.3189021746e+01)	(1.8493543607e-19 -7.6988621776e-19 -1.3189021746e+01)	(-1.6710769557e-25 2.6565889684e-26 -4.3212715102e-24)
2.6401747414e-10	(1.8493536421e-19 -7.6988633072e-19 -1.3189022768e+01)	(1.8493544367e-19 -7.6988627469e-19 -1.3189022761e+01)	(-7.9459277672e-26 -5.6024658659e-26 -6.7286033346e-09)
4.3683268287e-10	(1.8493531329e-19 -7.6988639992e-19 -1.3189023986e+01)	(1.8493545280e-19 -7.6988634301e-19 -1.3189023980e+01)	(-1.3950613997e-25 -5.6906358955e-26 -6.7284662422e-09)
6.4421093335e-10	(1.8493483521e-19 -7.6988642743e-19 -1.3189025449e+01)	(1.8493546374e-19 -7.6988642499e-19 -1.3189025442e+01)	(-6.2853647920e-25 -2.4375609369e-27 -6.7100247908e-09)
8.9305450633e-10	(1.8493494279e-19 -7.6988656462e-19 -1.3189027203e+01)	(1.8493547688e-19 -7.6988652336e-19 -1.3189027197e+01)	(-5.3409154398e-25 -4.1264700718e-26 -6.7093768225e-09)
1.1916519198e-09	(1.8493481018e-19 -7.6988667102e-19 -1.3189029309e+01)	(1.8493549264e-19 -7.6988664139e-19 -1.3189029302e+01)	(-6.8246245665e-25 -2.9629461055e-26 -6.7082944779e-09)
1.5499045554e-09	(1.8493535654e-19 -7.6988697402e-19 -1.3189031835e+01)	(1.8493551155e-19 -7.6988678299e-19 -1.3189031828e+01)	(-1.5500979198e-25 -1.9102448956e-25 -6.7064275614e-09)
1.9797151863e-09	(1.8493404453e-19 -7.6988689115e-19 -1.3189034865e+01)	(1.8493553423e-19 -7.6988695288e-19 -1.3189034859e+01)	(-1.4897005465e-24 6.1721519740e-26 -6.7034540846e-09)
2.4954879433e-09	(1.8493246991e-19 -7.6988677658e-19 -1.3189038501e+01)	(1.8493556146e-19 -7.6988715672e-19 -1.3189038495e+01)	(-3.0915485140e-24 3.8014106993e-25 -6.6988300180e-09)
3.1142872684e-09	(1.8493138846e-19 -7.6988684060e-19 -1.3189042864e+01)	(1.8493559411e-19 -7.6988740127e-19 -1.3189042857e+01)	(-4.2056494418e-24 5.6066971724e-25 -6.6917628460e-09)
3.8565700031e-09	(1.8493121667e-19 -7.6988720141e-19 -1.3189048096e+01)	(1.8493563328e-19 -7.6988769459e-19 -1.3189048089e+01)	(-4.4166115560e-24 4.9317970693e-25 -6.6810977934e-09)
4.7475748600e-09	(1.8493067179e-19 -7.6988755488e-19 -1.3189054376e+01)	(1.8493568030e-19 -7.6988804665e-19 -1.3189054369e+01)	(-5.0085082670e-24 4.9176925059e-25 -6.6651451572e-09)
5.8165892801e-09	(1.8492949721e-19 -7.6988786221e-19 -1.3189061909e+01)	(1.8493573670e-19 -7.6988846899e-19 -1.3189061903e+01)	(-6.2394924439e-24 6.0677700635e-25 -6.6414761404e-09)
7.0994065843e-09	(1.8492781070e-19 -7.6988812231e-19 -1.3189070948e+01)	(1.8493580438e-19 -7.6988897572e-19 -1.3189070942e+01)	(-7.9936797022e-24 8.5340977573e-25 -6.6065458204e-09)
8.6387873492e-09	(1.8492603241e-19 -7.6988866757e-19 -1.3189081793e+01)	(1.8493588557e-19 -7.6988958370e-19 -1.3189081787e+01)	(-9.8531579417e-24 9.1612404289e-25 -6.5552363814e-09)
1.0484897615e-08	(1.8492659836e-19 -7.6988985080e-19 -1.3189094796e+01)	(1.8493598293e-19 -7.6989031266e-19 -1.3189094789e+01)	(-9.3845724524e-24 4.6185477203e-25 -6.4801896018e-09)
1.2698577933e-08	(1.8492551487e-19 -7.6989096261e-19 -1.3189110383e+01)	(1.8493609965e-19 -7.6989118654e-19 -1.3189110377e+01)	(-1.0584774860e-23 2.2392596522e-25 -6.3707442839e-09)
1.5352614014e-08	(1.8492534204e-19 -7.6989240168e-19 -1.3189129066e+01)	(1.8493623955e-19 -7.6989223393e-19 -1.3189129060e+01)	(-1.0897507914e-23 -1.6775461171e-25 -6.2115598620e-09)
1.8539175134e-08	(1.8492928672e-19 -7.6989503659e-19 -1.3189151489e+01)	(1.8493640746e-19 -7.6989349102e-19 -1.3189151483e+01)	(-7.1207409233e-24 -1.5455664411e-24 -5.9801818608e-09)
2.2358088849e-08	(1.8492952978e-19 -7.6989695540e-19 -1.3189178349e+01)	(1.8493660863e-19 -7.6989499691e-19 -1.3189178343e+01)	(-7.0788505357e-24 -1.9584936517e-24 -5.6452090642e-09)
2.6947956977e-08	(1.8493102715e-19 -7.6990019133e-19 -1.3189210613e+01)	(1.8493685030e-19 -7.6989680585e-19 -1.3189210608e+01)	(-5.8231446014e-24 -3.3854779329e-24 -5.1592096528e-09)
3.2445426146e-08	(1.8492542604e-19 -7.6990243577e-19 -1.3189249233e+01)	(1.8493713960e-19 -7.6989897112e-19 -1.3189249229e+01)	(-1.1713552881e-23 -3.4646442375e-24 -4.4580086311e-09)
3.9027430050e-08	(1.8492744356e-19 -7.6990695431e-19 -1.3189295436e+01)	(1.8493748575e-19 -7.6990156159e-19 -1.3189295432e+01)	(-1.0042183242e-23 -5.3927215815e-24 -3.4463786842e-09)
4.6904254394e-08	(1.8491616910e-19 -7.6990793574e-19 -1.3189350675e+01)	(1.8493789967e-19 -7.6990465884e-19 -1.3189350673e+01)	(-2.1730577877e-23 -3.2769043817e-24 -1.9892461932e-09)
5.6340845935e-08	(1.8490728677e-19 -7.6991175472e-19 -1.3189416779e+01)	(1.8493839511e-19 -7.6990836536e-19 -1.3189416779e+01)	(-3.1108340955e-23 -3.3893535850e-24 1.0969299693e-10)
6.7710233333e-08	(1.8489793053e-19 -7.6991580175e-19 -1.3189496315e+01)	(1.8493899136e-19 -7.6991282523e-19 -1.3189496318e+01)	(-4.1060827880e-23 -2.9765188945e-24 3.1461362548e-09)
8.1420376961e-08	(1.8491950349e-19 -7.6992825054e-19 -1.3189592070e+01)	(1.8493970941e-19 -7.6991819484e-19 -1.3189592077e+01)	(-2.0205923912e-23 -1.0055702876e-23 7.5332556127e-09)
9.7823584515e-08	(1.8488849983e-19 -7.6992989558e-19 -1.3189706409e+01)	(1.8494056713e-19 -7.6992460700e-19 -1.3189706423e+01)	(-5.2067294191e-23 -5.2885814363e-24 1.3823976043e-08)
1.1743611529e-07	(1.8486962309e-19 -7.6993679434e-19 -1.3189842799e+01)	(1.8494159069e-19 -7.6993225627e-19 -1.3189842822e+01)	(-7.1967595830e-23 -4.5380678584e-24 2.2860951637e-08)
1.4066148067e-07	(1.8483739133e-19 -7.6994169145e-19 -1.3190003859e+01)	(1.8494280000e-19 -7.6994128997e-19 -1.3190003895e+01)	(-1.0540867317e-22 -4.0148044374e-25 3.5703428780e-08)
1.6838207807e-07	(1.8482617802e-19 -7.6995093576e-19 -1.3190195452e+01)	(1.8494423944e-19 -7.6995203731e-19 -1.3190195506e+01)	(-1.1806141862e-22 1.1015508049e-24 5.4116467982e-08)
2.0036738276e-07	(1.8475409939e-19 -7.6995468771e-19 -1.3190415640e+01)	(1.8494589492e-19 -7.6996439029e-19 -1.3190415720e+01)	(-1.9179553203e-22 9.7025830788e-24 7.9504949605e-08)
2.3671431991e-07	(1.8464554539e-19 -7.6995227427e-19 -1.3190664704e+01)	(1.8494776906e-19 -7.6997836523e-19 -1.3190664818e+01)	(-3.0222366912e-22 2.6090953536e-23 1.1421983061e-07)
2.7688725044e-07	(1.8466349911e-19 -7.6997312411e-19 -1.3190938544e+01)	(1.8494983160e-19 -7.6999373290e-19 -1.3190938704e+01)	(-2.8633249849e-22 2.0608798165e-23 1.6016224510e-07)
3.1706018097e-07	(1.8456886787e-19 -7.6997549680e-19 -1.3191210800e+01)	(1.8495188440e-19 -7.7000901458e-19 -1.3191211015e+01)	(-3.8301652923e-22 3.3517780396e-23 2.1494734749e-07)
3.5500128203e-07	(1.8446816625e-19 -7.6997498441e-19 -1.3191466441e+01)	(1.8495381397e-19 -7.7002336639e-19 -1.3191466718e+01)	(-4.8564771995e-22 4.8381976984e-23 2.7694049330e-07)
