# Force coefficients
# liftDir        : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# dragDir        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis      : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# magUInf        : 5.4100000000e+03
# lRef           : 6.6236897090e-01
# Aref           : 3.0629317000e-02
# CofR           : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#                
# Time           	Cm               	Cd               	Cl               	Cl(f)            	Cl(r)            
1.2000048e-10    	-1.2678330226e-03	1.1342522757e-03	-1.7760357889e-03	-2.1558509170e-03	3.7981512815e-04
2.640017472e-10  	-1.2678331869e-03	1.1342524226e-03	-1.7760360190e-03	-2.1558511964e-03	3.7981517742e-04
4.368042633e-10  	-1.2678333825e-03	1.1342525974e-03	-1.7760362928e-03	-2.1558515289e-03	3.7981523606e-04
6.441651325e-10  	-1.2678336171e-03	1.1342528071e-03	-1.7760366214e-03	-2.1558519279e-03	3.7981530643e-04
8.929981755e-10  	-1.2678338987e-03	1.1342530588e-03	-1.7760370157e-03	-2.1558524066e-03	3.7981539086e-04
1.191594855e-09  	-1.2678342366e-03	1.1342533609e-03	-1.7760374889e-03	-2.1558529811e-03	3.7981549218e-04
1.54991087e-09   	-1.2678346421e-03	1.1342537233e-03	-1.7760380566e-03	-2.1558536704e-03	3.7981561375e-04
1.979896252e-09  	-1.2678351286e-03	1.1342541582e-03	-1.7760387379e-03	-2.1558544975e-03	3.7981575963e-04
2.495869834e-09  	-1.2678357123e-03	1.1342546800e-03	-1.7760395553e-03	-2.1558554900e-03	3.7981593467e-04
3.115025351e-09  	-1.2678364128e-03	1.1342553061e-03	-1.7760405361e-03	-2.1558566808e-03	3.7981614470e-04
3.858011971e-09  	-1.2678372532e-03	1.1342560573e-03	-1.7760417130e-03	-2.1558581097e-03	3.7981639670e-04
4.749569409e-09  	-1.2678382615e-03	1.1342569587e-03	-1.7760431249e-03	-2.1558598240e-03	3.7981669905e-04
5.819381079e-09  	-1.2678394713e-03	1.1342580400e-03	-1.7760448189e-03	-2.1558618807e-03	3.7981706180e-04
7.103155082e-09  	-1.2678409227e-03	1.1342593374e-03	-1.7760468514e-03	-2.1558643484e-03	3.7981749701e-04
8.643604727e-09  	-1.2678426639e-03	1.1342608939e-03	-1.7760492896e-03	-2.1558673087e-03	3.7981801911e-04
1.04921443e-08   	-1.2678447528e-03	1.1342627611e-03	-1.7760522146e-03	-2.1558708601e-03	3.7981864546e-04
1.271055599e-08  	-1.2678472587e-03	1.1342650011e-03	-1.7760557237e-03	-2.1558751206e-03	3.7981939688e-04
1.537241352e-08  	-1.2678502645e-03	1.1342676879e-03	-1.7760599326e-03	-2.1558802308e-03	3.7982029815e-04
1.856647225e-08  	-1.2678538694e-03	1.1342709102e-03	-1.7760649806e-03	-2.1558863597e-03	3.7982137910e-04
2.239958804e-08  	-1.2678581931e-03	1.1342747751e-03	-1.7760710350e-03	-2.1558937106e-03	3.7982267557e-04
2.699968044e-08  	-1.2678633783e-03	1.1342794101e-03	-1.7760782959e-03	-2.1559025263e-03	3.7982423037e-04
3.251877304e-08  	-1.2678695943e-03	1.1342849664e-03	-1.7760870001e-03	-2.1559130944e-03	3.7982609425e-04
3.914168415e-08  	-1.2678770460e-03	1.1342916274e-03	-1.7760974347e-03	-2.1559257634e-03	3.7982832866e-04
4.709129175e-08  	-1.2678859797e-03	1.1342996130e-03	-1.7761099446e-03	-2.1559409520e-03	3.7983100746e-04
5.663386961e-08  	-1.2678966882e-03	1.1343091851e-03	-1.7761249395e-03	-2.1559591579e-03	3.7983421842e-04
6.808936054e-08  	-1.2679095210e-03	1.1343206560e-03	-1.7761429093e-03	-2.1559809757e-03	3.7983806639e-04
8.182644303e-08  	-1.2679248778e-03	1.1343343831e-03	-1.7761644132e-03	-2.1560070844e-03	3.7984267117e-04
9.830181439e-08  	-1.2679432497e-03	1.1343508053e-03	-1.7761901393e-03	-2.1560383194e-03	3.7984818007e-04
1.18065683e-07   	-1.2679652227e-03	1.1343704464e-03	-1.7762209079e-03	-2.1560756766e-03	3.7985476876e-04
1.417633672e-07  	-1.2679914743e-03	1.1343939120e-03	-1.7762576677e-03	-2.1561203081e-03	3.7986264043e-04
1.701732711e-07  	-1.2680228097e-03	1.1344219218e-03	-1.7763015464e-03	-2.1561735829e-03	3.7987203654e-04
2.031592668e-07  	-1.2680590035e-03	1.1344542743e-03	-1.7763522281e-03	-2.1562351176e-03	3.7988288950e-04
2.405517887e-07  	-1.2680997843e-03	1.1344907269e-03	-1.7764093328e-03	-2.1563044507e-03	3.7989511794e-04
2.820813555e-07  	-1.2681447656e-03	1.1345309340e-03	-1.7764723192e-03	-2.1563809252e-03	3.7990860597e-04
3.224046694e-07  	-1.2681881067e-03	1.1345696749e-03	-1.7765330089e-03	-2.1564546112e-03	3.7992160227e-04
3.617444878e-07  	-1.2682300748e-03	1.1346071883e-03	-1.7765917758e-03	-2.1565259627e-03	3.7993418688e-04
4.002975099e-07  	-1.2682709015e-03	1.1346436813e-03	-1.7766489443e-03	-2.1565953736e-03	3.7994642930e-04
4.383915674e-07  	-1.2683109499e-03	1.1346794786e-03	-1.7767050230e-03	-2.1566634614e-03	3.7995843840e-04
4.760356951e-07  	-1.2683502403e-03	1.1347145982e-03	-1.7767600401e-03	-2.1567302604e-03	3.7997022024e-04
5.133845747e-07  	-1.2683889433e-03	1.1347491926e-03	-1.7768142346e-03	-2.1567960607e-03	3.7998182601e-04
5.505869881e-07  	-1.2684272190e-03	1.1347834049e-03	-1.7768678306e-03	-2.1568611343e-03	3.7999330366e-04
5.876435098e-07  	-1.2684650714e-03	1.1348172388e-03	-1.7769208339e-03	-2.1569254883e-03	3.8000465446e-04
6.245547117e-07  	-1.2685025048e-03	1.1348506980e-03	-1.7769732502e-03	-2.1569891299e-03	3.8001587965e-04
